operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
anomaly,128MB,10,20.48 GB,1,1,16,auto,cheyenne,109gb,36,False,4.557172060012817
anomaly,128MB,10,20.48 GB,1,1,16,spatial,cheyenne,109gb,36,False,23.952245473861694
anomaly,128MB,10,20.48 GB,1,1,16,temporal,cheyenne,109gb,36,False,4.843857765197754
anomaly,256MB,10,40.96 GB,1,1,16,auto,cheyenne,109gb,36,False,9.125642538070679
anomaly,256MB,10,40.96 GB,1,1,16,spatial,cheyenne,109gb,36,False,52.742987871170044
anomaly,256MB,10,40.96 GB,1,1,16,temporal,cheyenne,109gb,36,False,10.800329685211182
anomaly,512MB,10,81.92 GB,1,1,16,auto,cheyenne,109gb,36,False,19.364715576171875
anomaly,512MB,10,81.92 GB,1,1,16,spatial,cheyenne,109gb,36,False,91.74675846099854
anomaly,512MB,10,81.92 GB,1,1,16,temporal,cheyenne,109gb,36,False,19.787816524505615
anomaly,64MB,10,10.24 GB,1,1,16,auto,cheyenne,109gb,36,False,2.541107177734375
anomaly,64MB,10,10.24 GB,1,1,16,spatial,cheyenne,109gb,36,False,13.682714462280273
anomaly,64MB,10,10.24 GB,1,1,16,temporal,cheyenne,109gb,36,False,2.3743855953216553
climatology,128MB,10,20.48 GB,1,1,16,auto,cheyenne,109gb,36,False,2.3033158779144287
climatology,128MB,10,20.48 GB,1,1,16,spatial,cheyenne,109gb,36,False,2.370631217956543
climatology,128MB,10,20.48 GB,1,1,16,temporal,cheyenne,109gb,36,False,2.2687113285064697
climatology,256MB,10,40.96 GB,1,1,16,auto,cheyenne,109gb,36,False,4.268465280532837
climatology,256MB,10,40.96 GB,1,1,16,spatial,cheyenne,109gb,36,False,5.588435173034668
climatology,256MB,10,40.96 GB,1,1,16,temporal,cheyenne,109gb,36,False,8.232901096343994
climatology,512MB,10,81.92 GB,1,1,16,auto,cheyenne,109gb,36,False,9.192014932632446
climatology,512MB,10,81.92 GB,1,1,16,spatial,cheyenne,109gb,36,False,10.927072048187256
climatology,512MB,10,81.92 GB,1,1,16,temporal,cheyenne,109gb,36,False,9.651942729949951
climatology,64MB,10,10.24 GB,1,1,16,auto,cheyenne,109gb,36,False,1.071096658706665
climatology,64MB,10,10.24 GB,1,1,16,spatial,cheyenne,109gb,36,False,2.101414442062378
climatology,64MB,10,10.24 GB,1,1,16,temporal,cheyenne,109gb,36,False,0.9828553199768066
spatial_mean,128MB,10,20.48 GB,1,1,16,auto,cheyenne,109gb,36,False,1.7735772132873535
spatial_mean,128MB,10,20.48 GB,1,1,16,spatial,cheyenne,109gb,36,False,2.958000421524048
spatial_mean,128MB,10,20.48 GB,1,1,16,temporal,cheyenne,109gb,36,False,2.281829357147217
spatial_mean,256MB,10,40.96 GB,1,1,16,auto,cheyenne,109gb,36,False,4.876698017120361
spatial_mean,256MB,10,40.96 GB,1,1,16,spatial,cheyenne,109gb,36,False,5.125200986862183
spatial_mean,256MB,10,40.96 GB,1,1,16,temporal,cheyenne,109gb,36,False,4.315054655075073
spatial_mean,512MB,10,81.92 GB,1,1,16,auto,cheyenne,109gb,36,False,9.009497165679932
spatial_mean,512MB,10,81.92 GB,1,1,16,spatial,cheyenne,109gb,36,False,9.593409061431885
spatial_mean,512MB,10,81.92 GB,1,1,16,temporal,cheyenne,109gb,36,False,8.443389415740967
spatial_mean,64MB,10,10.24 GB,1,1,16,auto,cheyenne,109gb,36,False,0.9887607097625732
spatial_mean,64MB,10,10.24 GB,1,1,16,spatial,cheyenne,109gb,36,False,1.8772914409637451
spatial_mean,64MB,10,10.24 GB,1,1,16,temporal,cheyenne,109gb,36,False,1.1201362609863281
temporal_mean,128MB,10,20.48 GB,1,1,16,auto,cheyenne,109gb,36,False,1.0965113639831543
temporal_mean,128MB,10,20.48 GB,1,1,16,spatial,cheyenne,109gb,36,False,1.8379147052764893
temporal_mean,128MB,10,20.48 GB,1,1,16,temporal,cheyenne,109gb,36,False,1.6266450881958008
temporal_mean,256MB,10,40.96 GB,1,1,16,auto,cheyenne,109gb,36,False,3.4169342517852783
temporal_mean,256MB,10,40.96 GB,1,1,16,spatial,cheyenne,109gb,36,False,2.942955255508423
temporal_mean,256MB,10,40.96 GB,1,1,16,temporal,cheyenne,109gb,36,False,3.10983943939209
temporal_mean,512MB,10,81.92 GB,1,1,16,auto,cheyenne,109gb,36,False,6.2185564041137695
temporal_mean,512MB,10,81.92 GB,1,1,16,spatial,cheyenne,109gb,36,False,5.969349145889282
temporal_mean,512MB,10,81.92 GB,1,1,16,temporal,cheyenne,109gb,36,False,6.1256279945373535
temporal_mean,64MB,10,10.24 GB,1,1,16,auto,cheyenne,109gb,36,False,0.7367134094238281
temporal_mean,64MB,10,10.24 GB,1,1,16,spatial,cheyenne,109gb,36,False,0.8079404830932617
temporal_mean,64MB,10,10.24 GB,1,1,16,temporal,cheyenne,109gb,36,False,0.6186525821685791
