operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
anomaly,32MB,10,5.12 GB,1,1,16,auto,cheyenne,109gb,36,False,1.482818841934204
anomaly,32MB,10,5.12 GB,1,1,16,spatial,cheyenne,109gb,36,False,1.7510323524475098
anomaly,32MB,10,5.12 GB,1,1,16,temporal,cheyenne,109gb,36,False,1.0293354988098145
anomaly,512MB,10,81.92 GB,1,1,16,auto,cheyenne,109gb,36,False,18.7521231174469
anomaly,512MB,10,81.92 GB,1,1,16,spatial,cheyenne,109gb,36,False,27.59076714515686
anomaly,512MB,10,81.92 GB,1,1,16,temporal,cheyenne,109gb,36,False,20.590387105941772
climatology,32MB,10,5.12 GB,1,1,16,auto,cheyenne,109gb,36,False,0.6617999076843262
climatology,32MB,10,5.12 GB,1,1,16,spatial,cheyenne,109gb,36,False,1.1198358535766602
climatology,32MB,10,5.12 GB,1,1,16,temporal,cheyenne,109gb,36,False,0.5452194213867188
climatology,512MB,10,81.92 GB,1,1,16,auto,cheyenne,109gb,36,False,9.423414707183838
climatology,512MB,10,81.92 GB,1,1,16,spatial,cheyenne,109gb,36,False,10.710225820541382
climatology,512MB,10,81.92 GB,1,1,16,temporal,cheyenne,109gb,36,False,8.952277183532715
spatial_mean,32MB,10,5.12 GB,1,1,16,auto,cheyenne,109gb,36,False,0.6303043365478516
spatial_mean,32MB,10,5.12 GB,1,1,16,spatial,cheyenne,109gb,36,False,1.0256340503692627
spatial_mean,32MB,10,5.12 GB,1,1,16,temporal,cheyenne,109gb,36,False,0.6576495170593262
spatial_mean,512MB,10,81.92 GB,1,1,16,auto,cheyenne,109gb,36,False,8.772832155227661
spatial_mean,512MB,10,81.92 GB,1,1,16,spatial,cheyenne,109gb,36,False,9.451228618621826
spatial_mean,512MB,10,81.92 GB,1,1,16,temporal,cheyenne,109gb,36,False,8.34743332862854
temporal_mean,32MB,10,5.12 GB,1,1,16,auto,cheyenne,109gb,36,False,0.5405659675598145
temporal_mean,32MB,10,5.12 GB,1,1,16,spatial,cheyenne,109gb,36,False,0.4906935691833496
temporal_mean,32MB,10,5.12 GB,1,1,16,temporal,cheyenne,109gb,36,False,0.3336513042449951
temporal_mean,512MB,10,81.92 GB,1,1,16,auto,cheyenne,109gb,36,False,6.222494602203369
temporal_mean,512MB,10,81.92 GB,1,1,16,spatial,cheyenne,109gb,36,False,6.00270938873291
temporal_mean,512MB,10,81.92 GB,1,1,16,temporal,cheyenne,109gb,36,False,6.092253923416138
