operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
spatial_mean,64MB,10,2.56 GB,1,1,4,temporal,cheyenne,109gb,36,False,1.121279239654541
temporal_mean,1024MB,10,40.96 GB,1,1,4,auto,cheyenne,109gb,36,False,12.846416473388672
temporal_mean,1024MB,10,40.96 GB,1,1,4,spatial,cheyenne,109gb,36,False,11.931958436965942
temporal_mean,1024MB,10,40.96 GB,1,1,4,temporal,cheyenne,109gb,36,False,13.087242364883423
temporal_mean,128MB,10,5.12 GB,1,1,4,auto,cheyenne,109gb,36,False,1.5125234127044678
temporal_mean,128MB,10,5.12 GB,1,1,4,spatial,cheyenne,109gb,36,False,1.466670036315918
temporal_mean,128MB,10,5.12 GB,1,1,4,temporal,cheyenne,109gb,36,False,1.569636583328247
temporal_mean,2048MB,10,81.92 GB,1,1,4,auto,cheyenne,109gb,36,False,26.188414335250854
temporal_mean,2048MB,10,81.92 GB,1,1,4,spatial,cheyenne,109gb,36,False,24.859092235565186
temporal_mean,2048MB,10,81.92 GB,1,1,4,temporal,cheyenne,109gb,36,False,25.483447551727295
temporal_mean,256MB,10,10.24 GB,1,1,4,auto,cheyenne,109gb,36,False,3.0709476470947266
temporal_mean,256MB,10,10.24 GB,1,1,4,spatial,cheyenne,109gb,36,False,2.8643767833709717
temporal_mean,256MB,10,10.24 GB,1,1,4,temporal,cheyenne,109gb,36,False,3.0164313316345215
temporal_mean,512MB,10,20.48 GB,1,1,4,auto,cheyenne,109gb,36,False,6.206469774246216
temporal_mean,512MB,10,20.48 GB,1,1,4,spatial,cheyenne,109gb,36,False,6.074345588684082
temporal_mean,512MB,10,20.48 GB,1,1,4,temporal,cheyenne,109gb,36,False,6.514505386352539
temporal_mean,64MB,10,2.56 GB,1,1,4,auto,cheyenne,109gb,36,False,0.7704658508300781
temporal_mean,64MB,10,2.56 GB,1,1,4,spatial,cheyenne,109gb,36,False,0.7681307792663574
temporal_mean,64MB,10,2.56 GB,1,1,4,temporal,cheyenne,109gb,36,False,0.8126680850982666
