chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
512MB,spatial,512.17 MB,hal24,24,128gb,1,global_mean,0.5281860828399658,False,1,1
512MB,spatial,512.17 MB,hal24,24,128gb,1,temporal_mean,0.4684159755706787,False,1,1
512MB,spatial,512.17 MB,hal24,24,128gb,1,climatology,0.7588136196136475,False,1,1
512MB,spatial,512.17 MB,hal24,24,128gb,1,anomaly,1.2056095600128174,False,1,1
512MB,temporal,512.17 MB,hal24,24,128gb,1,global_mean,0.5254065990447998,False,1,1
512MB,temporal,512.17 MB,hal24,24,128gb,1,temporal_mean,0.47118330001831055,False,1,1
512MB,temporal,512.17 MB,hal24,24,128gb,1,climatology,0.7638123035430908,False,1,1
512MB,temporal,512.17 MB,hal24,24,128gb,1,anomaly,1.203045129776001,False,1,1
512MB,auto,512.17 MB,hal24,24,128gb,1,global_mean,0.5184721946716309,False,1,1
512MB,auto,512.17 MB,hal24,24,128gb,1,temporal_mean,0.48060083389282227,False,1,1
512MB,auto,512.17 MB,hal24,24,128gb,1,climatology,0.748293399810791,False,1,1
512MB,auto,512.17 MB,hal24,24,128gb,1,anomaly,1.190446138381958,False,1,1
512MB,spatial,512.17 MB,hal24,24,128gb,1,global_mean,0.5281860828399658,False,1,1
512MB,spatial,512.17 MB,hal24,24,128gb,1,temporal_mean,0.4684159755706787,False,1,1
512MB,spatial,512.17 MB,hal24,24,128gb,1,climatology,0.7588136196136475,False,1,1
512MB,spatial,512.17 MB,hal24,24,128gb,1,anomaly,1.2056095600128174,False,1,1
512MB,temporal,512.17 MB,hal24,24,128gb,1,global_mean,0.5254065990447998,False,1,1
512MB,temporal,512.17 MB,hal24,24,128gb,1,temporal_mean,0.47118330001831055,False,1,1
512MB,temporal,512.17 MB,hal24,24,128gb,1,climatology,0.7638123035430908,False,1,1
512MB,temporal,512.17 MB,hal24,24,128gb,1,anomaly,1.203045129776001,False,1,1
512MB,auto,512.17 MB,hal24,24,128gb,1,global_mean,0.5184721946716309,False,1,1
512MB,auto,512.17 MB,hal24,24,128gb,1,temporal_mean,0.48060083389282227,False,1,1
512MB,auto,512.17 MB,hal24,24,128gb,1,climatology,0.748293399810791,False,1,1
512MB,auto,512.17 MB,hal24,24,128gb,1,anomaly,1.190446138381958,False,1,1
