chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
512MB,spatial,8.19 GB,hal24,24,128gb,16,global_mean,0.7218549251556396,False,1,1
512MB,spatial,8.19 GB,hal24,24,128gb,16,temporal_mean,0.6116321086883545,False,1,1
512MB,spatial,8.19 GB,hal24,24,128gb,16,climatology,1.1413614749908447,False,1,1
512MB,spatial,8.19 GB,hal24,24,128gb,16,anomaly,2.6504392623901367,False,1,1
512MB,temporal,8.19 GB,hal24,24,128gb,16,global_mean,0.7535133361816406,False,1,1
512MB,temporal,8.19 GB,hal24,24,128gb,16,temporal_mean,0.6380705833435059,False,1,1
512MB,temporal,8.19 GB,hal24,24,128gb,16,climatology,1.106414794921875,False,1,1
512MB,temporal,8.19 GB,hal24,24,128gb,16,anomaly,2.622622489929199,False,1,1
512MB,auto,8.19 GB,hal24,24,128gb,16,global_mean,0.9343454837799072,False,1,1
512MB,auto,8.19 GB,hal24,24,128gb,16,temporal_mean,0.8316483497619629,False,1,1
512MB,auto,8.19 GB,hal24,24,128gb,16,climatology,1.3501899242401123,False,1,1
512MB,auto,8.19 GB,hal24,24,128gb,16,anomaly,2.2596118450164795,False,1,1
512MB,spatial,8.19 GB,hal24,24,128gb,16,global_mean,0.7218549251556396,False,1,1
512MB,spatial,8.19 GB,hal24,24,128gb,16,temporal_mean,0.6116321086883545,False,1,1
512MB,spatial,8.19 GB,hal24,24,128gb,16,climatology,1.1413614749908447,False,1,1
512MB,spatial,8.19 GB,hal24,24,128gb,16,anomaly,2.6504392623901367,False,1,1
512MB,temporal,8.19 GB,hal24,24,128gb,16,global_mean,0.7535133361816406,False,1,1
512MB,temporal,8.19 GB,hal24,24,128gb,16,temporal_mean,0.6380705833435059,False,1,1
512MB,temporal,8.19 GB,hal24,24,128gb,16,climatology,1.106414794921875,False,1,1
512MB,temporal,8.19 GB,hal24,24,128gb,16,anomaly,2.622622489929199,False,1,1
512MB,auto,8.19 GB,hal24,24,128gb,16,global_mean,0.9343454837799072,False,1,1
512MB,auto,8.19 GB,hal24,24,128gb,16,temporal_mean,0.8316483497619629,False,1,1
512MB,auto,8.19 GB,hal24,24,128gb,16,climatology,1.3501899242401123,False,1,1
512MB,auto,8.19 GB,hal24,24,128gb,16,anomaly,2.2596118450164795,False,1,1
1024MB,spatial,16.38 GB,hal24,24,128gb,16,global_mean,1.3327043056488037,False,1,1
1024MB,spatial,16.38 GB,hal24,24,128gb,16,temporal_mean,1.2760164737701416,False,1,1
1024MB,spatial,16.38 GB,hal24,24,128gb,16,climatology,1.9500250816345215,False,1,1
1024MB,spatial,16.38 GB,hal24,24,128gb,16,anomaly,11.647152423858643,False,1,1
1024MB,temporal,16.38 GB,hal24,24,128gb,16,global_mean,1.5621650218963623,False,1,1
1024MB,temporal,16.38 GB,hal24,24,128gb,16,temporal_mean,1.3738434314727783,False,1,1
1024MB,temporal,16.38 GB,hal24,24,128gb,16,climatology,2.287362813949585,False,1,1
1024MB,temporal,16.38 GB,hal24,24,128gb,16,anomaly,3.8099887371063232,False,1,1
1024MB,auto,16.38 GB,hal24,24,128gb,16,global_mean,1.504718542098999,False,1,1
1024MB,auto,16.38 GB,hal24,24,128gb,16,temporal_mean,1.3641197681427002,False,1,1
1024MB,auto,16.38 GB,hal24,24,128gb,16,climatology,2.180387020111084,False,1,1
1024MB,auto,16.38 GB,hal24,24,128gb,16,anomaly,5.520057916641235,False,1,1
512MB,spatial,8.19 GB,hal24,24,128gb,16,global_mean,0.7218549251556396,False,1,1
512MB,spatial,8.19 GB,hal24,24,128gb,16,temporal_mean,0.6116321086883545,False,1,1
512MB,spatial,8.19 GB,hal24,24,128gb,16,climatology,1.1413614749908447,False,1,1
512MB,spatial,8.19 GB,hal24,24,128gb,16,anomaly,2.6504392623901367,False,1,1
512MB,temporal,8.19 GB,hal24,24,128gb,16,global_mean,0.7535133361816406,False,1,1
512MB,temporal,8.19 GB,hal24,24,128gb,16,temporal_mean,0.6380705833435059,False,1,1
512MB,temporal,8.19 GB,hal24,24,128gb,16,climatology,1.106414794921875,False,1,1
512MB,temporal,8.19 GB,hal24,24,128gb,16,anomaly,2.622622489929199,False,1,1
512MB,auto,8.19 GB,hal24,24,128gb,16,global_mean,0.9343454837799072,False,1,1
512MB,auto,8.19 GB,hal24,24,128gb,16,temporal_mean,0.8316483497619629,False,1,1
512MB,auto,8.19 GB,hal24,24,128gb,16,climatology,1.3501899242401123,False,1,1
512MB,auto,8.19 GB,hal24,24,128gb,16,anomaly,2.2596118450164795,False,1,1
1024MB,spatial,16.38 GB,hal24,24,128gb,16,global_mean,1.3327043056488037,False,1,1
1024MB,spatial,16.38 GB,hal24,24,128gb,16,temporal_mean,1.2760164737701416,False,1,1
1024MB,spatial,16.38 GB,hal24,24,128gb,16,climatology,1.9500250816345215,False,1,1
1024MB,spatial,16.38 GB,hal24,24,128gb,16,anomaly,11.647152423858643,False,1,1
1024MB,temporal,16.38 GB,hal24,24,128gb,16,global_mean,1.5621650218963623,False,1,1
1024MB,temporal,16.38 GB,hal24,24,128gb,16,temporal_mean,1.3738434314727783,False,1,1
1024MB,temporal,16.38 GB,hal24,24,128gb,16,climatology,2.287362813949585,False,1,1
1024MB,temporal,16.38 GB,hal24,24,128gb,16,anomaly,3.8099887371063232,False,1,1
1024MB,auto,16.38 GB,hal24,24,128gb,16,global_mean,1.504718542098999,False,1,1
1024MB,auto,16.38 GB,hal24,24,128gb,16,temporal_mean,1.3641197681427002,False,1,1
1024MB,auto,16.38 GB,hal24,24,128gb,16,climatology,2.180387020111084,False,1,1
1024MB,auto,16.38 GB,hal24,24,128gb,16,anomaly,5.520057916641235,False,1,1
2048MB,spatial,32.77 GB,hal24,24,128gb,16,global_mean,2.9146976470947266,False,1,1
2048MB,spatial,32.77 GB,hal24,24,128gb,16,temporal_mean,2.7707059383392334,False,1,1
2048MB,spatial,32.77 GB,hal24,24,128gb,16,climatology,4.079894065856934,False,1,1
2048MB,spatial,32.77 GB,hal24,24,128gb,16,anomaly,35.73667573928833,False,1,1
2048MB,temporal,32.77 GB,hal24,24,128gb,16,global_mean,2.9876179695129395,False,1,1
2048MB,temporal,32.77 GB,hal24,24,128gb,16,temporal_mean,2.7173964977264404,False,1,1
2048MB,temporal,32.77 GB,hal24,24,128gb,16,climatology,4.462806701660156,False,1,1
2048MB,temporal,32.77 GB,hal24,24,128gb,16,anomaly,8.488247394561768,False,1,1
2048MB,auto,32.77 GB,hal24,24,128gb,16,global_mean,2.996398687362671,False,1,1
2048MB,auto,32.77 GB,hal24,24,128gb,16,temporal_mean,2.659931182861328,False,1,1
2048MB,auto,32.77 GB,hal24,24,128gb,16,climatology,4.396043062210083,False,1,1
