chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
512MB,spatial,1.02 GB,hal24,24,128gb,2,global_mean,0.622880220413208,False,1,1
512MB,spatial,1.02 GB,hal24,24,128gb,2,temporal_mean,0.5608866214752197,False,1,1
512MB,spatial,1.02 GB,hal24,24,128gb,2,climatology,0.7494189739227295,False,1,1
512MB,spatial,1.02 GB,hal24,24,128gb,2,anomaly,1.2873685359954834,False,1,1
512MB,temporal,1.02 GB,hal24,24,128gb,2,global_mean,0.5281519889831543,False,1,1
512MB,temporal,1.02 GB,hal24,24,128gb,2,temporal_mean,0.5068728923797607,False,1,1
512MB,temporal,1.02 GB,hal24,24,128gb,2,climatology,0.7758281230926514,False,1,1
512MB,temporal,1.02 GB,hal24,24,128gb,2,anomaly,1.3794488906860352,False,1,1
512MB,auto,1.02 GB,hal24,24,128gb,2,global_mean,0.5282196998596191,False,1,1
512MB,auto,1.02 GB,hal24,24,128gb,2,temporal_mean,0.4670712947845459,False,1,1
512MB,auto,1.02 GB,hal24,24,128gb,2,climatology,0.7564229965209961,False,1,1
512MB,auto,1.02 GB,hal24,24,128gb,2,anomaly,1.3616373538970947,False,1,1
512MB,spatial,1.02 GB,hal24,24,128gb,2,global_mean,0.622880220413208,False,1,1
512MB,spatial,1.02 GB,hal24,24,128gb,2,temporal_mean,0.5608866214752197,False,1,1
512MB,spatial,1.02 GB,hal24,24,128gb,2,climatology,0.7494189739227295,False,1,1
512MB,spatial,1.02 GB,hal24,24,128gb,2,anomaly,1.2873685359954834,False,1,1
512MB,temporal,1.02 GB,hal24,24,128gb,2,global_mean,0.5281519889831543,False,1,1
512MB,temporal,1.02 GB,hal24,24,128gb,2,temporal_mean,0.5068728923797607,False,1,1
512MB,temporal,1.02 GB,hal24,24,128gb,2,climatology,0.7758281230926514,False,1,1
512MB,temporal,1.02 GB,hal24,24,128gb,2,anomaly,1.3794488906860352,False,1,1
512MB,auto,1.02 GB,hal24,24,128gb,2,global_mean,0.5282196998596191,False,1,1
512MB,auto,1.02 GB,hal24,24,128gb,2,temporal_mean,0.4670712947845459,False,1,1
512MB,auto,1.02 GB,hal24,24,128gb,2,climatology,0.7564229965209961,False,1,1
512MB,auto,1.02 GB,hal24,24,128gb,2,anomaly,1.3616373538970947,False,1,1
1024MB,spatial,2.05 GB,hal24,24,128gb,2,global_mean,1.0147924423217773,False,1,1
1024MB,spatial,2.05 GB,hal24,24,128gb,2,temporal_mean,1.0504748821258545,False,1,1
1024MB,spatial,2.05 GB,hal24,24,128gb,2,climatology,1.5628697872161865,False,1,1
1024MB,spatial,2.05 GB,hal24,24,128gb,2,anomaly,2.6932430267333984,False,1,1
1024MB,temporal,2.05 GB,hal24,24,128gb,2,global_mean,1.024503469467163,False,1,1
1024MB,temporal,2.05 GB,hal24,24,128gb,2,temporal_mean,0.9013998508453369,False,1,1
1024MB,temporal,2.05 GB,hal24,24,128gb,2,climatology,1.4234974384307861,False,1,1
1024MB,temporal,2.05 GB,hal24,24,128gb,2,anomaly,3.3122565746307373,False,1,1
1024MB,auto,2.05 GB,hal24,24,128gb,2,global_mean,1.0312175750732422,False,1,1
1024MB,auto,2.05 GB,hal24,24,128gb,2,temporal_mean,0.9302301406860352,False,1,1
1024MB,auto,2.05 GB,hal24,24,128gb,2,climatology,1.5187311172485352,False,1,1
1024MB,auto,2.05 GB,hal24,24,128gb,2,anomaly,2.4431941509246826,False,1,1
512MB,spatial,1.02 GB,hal24,24,128gb,2,global_mean,0.622880220413208,False,1,1
512MB,spatial,1.02 GB,hal24,24,128gb,2,temporal_mean,0.5608866214752197,False,1,1
512MB,spatial,1.02 GB,hal24,24,128gb,2,climatology,0.7494189739227295,False,1,1
