chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
512MB,spatial,2.05 GB,hal24,24,128gb,4,global_mean,0.5322692394256592,False,1,1
512MB,spatial,2.05 GB,hal24,24,128gb,4,temporal_mean,0.48891448974609375,False,1,1
512MB,spatial,2.05 GB,hal24,24,128gb,4,climatology,0.7690010070800781,False,1,1
512MB,spatial,2.05 GB,hal24,24,128gb,4,anomaly,1.415163278579712,False,1,1
512MB,temporal,2.05 GB,hal24,24,128gb,4,global_mean,0.5738203525543213,False,1,1
512MB,temporal,2.05 GB,hal24,24,128gb,4,temporal_mean,0.5031447410583496,False,1,1
512MB,temporal,2.05 GB,hal24,24,128gb,4,climatology,0.8279404640197754,False,1,1
512MB,temporal,2.05 GB,hal24,24,128gb,4,anomaly,1.3863756656646729,False,1,1
512MB,auto,2.05 GB,hal24,24,128gb,4,global_mean,0.5607185363769531,False,1,1
512MB,auto,2.05 GB,hal24,24,128gb,4,temporal_mean,0.47693443298339844,False,1,1
512MB,auto,2.05 GB,hal24,24,128gb,4,climatology,0.7611589431762695,False,1,1
512MB,auto,2.05 GB,hal24,24,128gb,4,anomaly,1.5015895366668701,False,1,1
512MB,spatial,2.05 GB,hal24,24,128gb,4,global_mean,0.5322692394256592,False,1,1
512MB,spatial,2.05 GB,hal24,24,128gb,4,temporal_mean,0.48891448974609375,False,1,1
512MB,spatial,2.05 GB,hal24,24,128gb,4,climatology,0.7690010070800781,False,1,1
512MB,spatial,2.05 GB,hal24,24,128gb,4,anomaly,1.415163278579712,False,1,1
512MB,temporal,2.05 GB,hal24,24,128gb,4,global_mean,0.5738203525543213,False,1,1
512MB,temporal,2.05 GB,hal24,24,128gb,4,temporal_mean,0.5031447410583496,False,1,1
512MB,temporal,2.05 GB,hal24,24,128gb,4,climatology,0.8279404640197754,False,1,1
512MB,temporal,2.05 GB,hal24,24,128gb,4,anomaly,1.3863756656646729,False,1,1
512MB,auto,2.05 GB,hal24,24,128gb,4,global_mean,0.5607185363769531,False,1,1
512MB,auto,2.05 GB,hal24,24,128gb,4,temporal_mean,0.47693443298339844,False,1,1
512MB,auto,2.05 GB,hal24,24,128gb,4,climatology,0.7611589431762695,False,1,1
512MB,auto,2.05 GB,hal24,24,128gb,4,anomaly,1.5015895366668701,False,1,1
1024MB,spatial,4.10 GB,hal24,24,128gb,4,global_mean,1.142082691192627,False,1,1
1024MB,spatial,4.10 GB,hal24,24,128gb,4,temporal_mean,1.0023138523101807,False,1,1
1024MB,spatial,4.10 GB,hal24,24,128gb,4,climatology,1.5327279567718506,False,1,1
1024MB,spatial,4.10 GB,hal24,24,128gb,4,anomaly,2.773587942123413,False,1,1
