chunk_size,dataset_size,num_nodes,operation,runtime,worker_per_node
32MB,512.17 MB,8,anomaly,1.4812941551208496,2
64MB,1.02 GB,8,global_mean,0.1388249397277832,2
64MB,1.02 GB,8,temporal_mean,0.11639237403869629,2
64MB,1.02 GB,8,climatology,0.20406270027160645,2
64MB,1.02 GB,8,anomaly,2.7098217010498047,2
128MB,2.05 GB,8,global_mean,0.20625972747802734,2
128MB,2.05 GB,8,temporal_mean,0.18666458129882812,2
128MB,2.05 GB,8,climatology,0.3141615390777588,2
128MB,2.05 GB,8,anomaly,7.20105767250061,2
256MB,4.10 GB,8,global_mean,0.37175798416137695,2
256MB,4.10 GB,8,temporal_mean,0.31807780265808105,2
256MB,4.10 GB,8,climatology,0.5484733581542969,2
256MB,4.10 GB,8,anomaly,14.978516101837158,2
512MB,8.19 GB,8,global_mean,0.6833009719848633,2
512MB,8.19 GB,8,temporal_mean,0.6308183670043945,2
512MB,8.19 GB,8,climatology,1.3673717975616455,2
512MB,8.19 GB,8,anomaly,29.961827516555786,2
8MB,256.58 MB,16,global_mean,0.1336054801940918,2
8MB,256.58 MB,16,temporal_mean,0.3898813724517822,2
8MB,256.58 MB,16,climatology,0.16936993598937988,2
8MB,256.58 MB,16,anomaly,0.9164204597473145,2
16MB,512.17 MB,16,global_mean,0.12319397926330566,2
16MB,512.17 MB,16,temporal_mean,0.1092519760131836,2
16MB,512.17 MB,16,climatology,0.19198274612426758,2
16MB,512.17 MB,16,anomaly,1.3525898456573486,2
32MB,1.02 GB,16,global_mean,0.1424410343170166,2
32MB,1.02 GB,16,temporal_mean,0.12366414070129395,2
32MB,1.02 GB,16,climatology,0.21563982963562012,2
32MB,1.02 GB,16,anomaly,2.5331826210021973,2
64MB,2.05 GB,16,global_mean,0.17817234992980957,2
64MB,2.05 GB,16,temporal_mean,0.14385223388671875,2
64MB,2.05 GB,16,climatology,0.529402494430542,2
64MB,2.05 GB,16,anomaly,5.152278184890747,2
128MB,4.10 GB,16,global_mean,0.24794530868530273,2
128MB,4.10 GB,16,temporal_mean,0.23740196228027344,2
128MB,4.10 GB,16,climatology,0.3943803310394287,2
128MB,4.10 GB,16,anomaly,13.57630968093872,2
256MB,8.19 GB,16,global_mean,0.3810594081878662,2
256MB,8.19 GB,16,temporal_mean,0.37334132194519043,2
256MB,8.19 GB,16,climatology,0.6176261901855469,2
256MB,8.19 GB,16,anomaly,29.869961977005005,2
512MB,16.38 GB,16,global_mean,0.7279508113861084,2
512MB,16.38 GB,16,temporal_mean,0.6789863109588623,2
512MB,16.38 GB,16,climatology,1.042198896408081,2
512MB,16.38 GB,16,anomaly,60.964000940322876,2
8MB,512.17 MB,32,global_mean,0.1929938793182373,2
8MB,512.17 MB,32,temporal_mean,0.2000579833984375,2
8MB,512.17 MB,32,climatology,0.5811769962310791,2
8MB,512.17 MB,32,anomaly,1.7908821105957031,2
16MB,1.02 GB,32,global_mean,0.17534089088439941,2
16MB,1.02 GB,32,temporal_mean,0.19762730598449707,2
16MB,1.02 GB,32,climatology,0.28525567054748535,2
16MB,1.02 GB,32,anomaly,3.266018867492676,2
32MB,2.05 GB,32,global_mean,0.1903231143951416,2
32MB,2.05 GB,32,temporal_mean,0.20476698875427246,2
32MB,2.05 GB,32,climatology,0.30640172958374023,2
32MB,2.05 GB,32,anomaly,5.1397998332977295,2
64MB,4.10 GB,32,global_mean,0.23708009719848633,2
64MB,4.10 GB,32,temporal_mean,0.2262427806854248,2
64MB,4.10 GB,32,climatology,0.37625861167907715,2
64MB,4.10 GB,32,anomaly,10.246471405029297,2
128MB,8.19 GB,32,global_mean,0.3056142330169678,2
128MB,8.19 GB,32,temporal_mean,0.322878360748291,2
128MB,8.19 GB,32,climatology,0.4978013038635254,2
128MB,8.19 GB,32,anomaly,26.36749792098999,2
256MB,16.38 GB,32,global_mean,0.4226522445678711,2
256MB,16.38 GB,32,temporal_mean,0.43616437911987305,2
256MB,16.38 GB,32,climatology,0.7252407073974609,2
256MB,16.38 GB,32,anomaly,57.480504512786865,2
512MB,32.77 GB,32,global_mean,0.7491414546966553,2
512MB,32.77 GB,32,temporal_mean,1.0377240180969238,2
512MB,32.77 GB,32,climatology,1.1385471820831299,2
512MB,32.77 GB,32,anomaly,120.80729365348816,2
