chunk_size,num_nodes,operation,runtime,worker_per_node
64MB,1,global_mean,0.12163138389587402,1
64MB,1,temporal_mean,0.09109902381896973,1
64MB,1,climatology,0.13617253303527832,1
64MB,1,anomaly,0.38536548614501953,1
128MB,1,global_mean,0.1752920150756836,1
128MB,1,temporal_mean,0.16447138786315918,1
128MB,1,climatology,0.16129517555236816,1
128MB,1,anomaly,0.7211976051330566,1
256MB,1,global_mean,0.34765100479125977,1
256MB,1,temporal_mean,0.2957892417907715,1
256MB,1,climatology,0.23090553283691406,1
256MB,1,anomaly,1.3354120254516602,1
512MB,1,global_mean,0.6486382484436035,1
512MB,1,temporal_mean,0.5998430252075195,1
512MB,1,climatology,0.40001487731933594,1
512MB,1,anomaly,2.65936541557312,1
1024MB,1,global_mean,1.1829884052276611,1
1024MB,1,temporal_mean,1.2089409828186035,1
1024MB,1,climatology,0.6138148307800293,1
1024MB,1,anomaly,4.915816307067871,1
