chunk_size,num_nodes,operation,runtime,worker_per_node
64MB,2,global_mean,0.126662015914917,1
64MB,2,temporal_mean,0.10713028907775879,1
64MB,2,climatology,0.1629040241241455,1
64MB,2,anomaly,0.6176376342773438,1
128MB,2,global_mean,0.18197870254516602,1
128MB,2,temporal_mean,0.16393399238586426,1
128MB,2,climatology,0.24189543724060059,1
128MB,2,anomaly,1.230628490447998,1
256MB,2,global_mean,0.33576369285583496,1
256MB,2,temporal_mean,0.30086183547973633,1
256MB,2,climatology,0.26184940338134766,1
256MB,2,anomaly,2.3624494075775146,1
512MB,2,global_mean,0.6673414707183838,1
512MB,2,temporal_mean,0.5814533233642578,1
512MB,2,climatology,0.4261653423309326,1
512MB,2,anomaly,4.443398475646973,1
1024MB,2,global_mean,1.2812302112579346,1
1024MB,2,temporal_mean,1.167290210723877,1
1024MB,2,climatology,0.6744012832641602,1
1024MB,2,anomaly,8.666563272476196,1
