chunk_per_worker,chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,temporal_mean,0.594996452331543,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,spatial_mean,0.5681049823760986,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,climatology,0.8429837226867676,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,anomaly,1.3033535480499268,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,temporal_mean,0.7570898532867432,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,spatial_mean,0.6993381977081299,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,climatology,0.9682869911193848,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,anomaly,1.3032636642456055,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,temporal_mean,0.5636639595031738,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,spatial_mean,0.49055027961730957,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,climatology,0.7983450889587402,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,anomaly,1.5074927806854248,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,temporal_mean,0.594996452331543,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,spatial_mean,0.5681049823760986,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,climatology,0.8429837226867676,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,anomaly,1.3033535480499268,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,temporal_mean,0.7570898532867432,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,spatial_mean,0.6993381977081299,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,climatology,0.9682869911193848,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,anomaly,1.3032636642456055,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,temporal_mean,0.5636639595031738,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,spatial_mean,0.49055027961730957,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,climatology,0.7983450889587402,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,anomaly,1.5074927806854248,False,1,1
10,128MB,spatial,1.28 GB,hal24,24,128gb,1,temporal_mean,1.230914831161499,False,1,1
10,128MB,spatial,1.28 GB,hal24,24,128gb,1,spatial_mean,1.1540839672088623,False,1,1
10,128MB,spatial,1.28 GB,hal24,24,128gb,1,climatology,1.6512999534606934,False,1,1
10,128MB,spatial,1.28 GB,hal24,24,128gb,1,anomaly,2.618561029434204,False,1,1
10,128MB,temporal,1.28 GB,hal24,24,128gb,1,temporal_mean,1.2424356937408447,False,1,1
10,128MB,temporal,1.28 GB,hal24,24,128gb,1,spatial_mean,1.1229329109191895,False,1,1
10,128MB,temporal,1.28 GB,hal24,24,128gb,1,climatology,2.1849851608276367,False,1,1
10,128MB,temporal,1.28 GB,hal24,24,128gb,1,anomaly,2.6834752559661865,False,1,1
10,128MB,auto,1.28 GB,hal24,24,128gb,1,temporal_mean,1.1370751857757568,False,1,1
10,128MB,auto,1.28 GB,hal24,24,128gb,1,spatial_mean,0.9938392639160156,False,1,1
10,128MB,auto,1.28 GB,hal24,24,128gb,1,climatology,1.6379010677337646,False,1,1
10,128MB,auto,1.28 GB,hal24,24,128gb,1,anomaly,2.6014270782470703,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,temporal_mean,0.594996452331543,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,spatial_mean,0.5681049823760986,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,climatology,0.8429837226867676,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,anomaly,1.3033535480499268,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,temporal_mean,0.7570898532867432,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,spatial_mean,0.6993381977081299,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,climatology,0.9682869911193848,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,anomaly,1.3032636642456055,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,temporal_mean,0.5636639595031738,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,spatial_mean,0.49055027961730957,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,climatology,0.7983450889587402,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,anomaly,1.5074927806854248,False,1,1
10,128MB,spatial,1.28 GB,hal24,24,128gb,1,temporal_mean,1.230914831161499,False,1,1
10,128MB,spatial,1.28 GB,hal24,24,128gb,1,spatial_mean,1.1540839672088623,False,1,1
10,128MB,spatial,1.28 GB,hal24,24,128gb,1,climatology,1.6512999534606934,False,1,1
10,128MB,spatial,1.28 GB,hal24,24,128gb,1,anomaly,2.618561029434204,False,1,1
10,128MB,temporal,1.28 GB,hal24,24,128gb,1,temporal_mean,1.2424356937408447,False,1,1
10,128MB,temporal,1.28 GB,hal24,24,128gb,1,spatial_mean,1.1229329109191895,False,1,1
10,128MB,temporal,1.28 GB,hal24,24,128gb,1,climatology,2.1849851608276367,False,1,1
10,128MB,temporal,1.28 GB,hal24,24,128gb,1,anomaly,2.6834752559661865,False,1,1
10,128MB,auto,1.28 GB,hal24,24,128gb,1,temporal_mean,1.1370751857757568,False,1,1
10,128MB,auto,1.28 GB,hal24,24,128gb,1,spatial_mean,0.9938392639160156,False,1,1
10,128MB,auto,1.28 GB,hal24,24,128gb,1,climatology,1.6379010677337646,False,1,1
10,128MB,auto,1.28 GB,hal24,24,128gb,1,anomaly,2.6014270782470703,False,1,1
10,256MB,spatial,2.56 GB,hal24,24,128gb,1,temporal_mean,2.493489980697632,False,1,1
10,256MB,spatial,2.56 GB,hal24,24,128gb,1,spatial_mean,2.352318525314331,False,1,1
10,256MB,spatial,2.56 GB,hal24,24,128gb,1,climatology,3.190244674682617,False,1,1
10,256MB,spatial,2.56 GB,hal24,24,128gb,1,anomaly,5.3177149295806885,False,1,1
10,256MB,temporal,2.56 GB,hal24,24,128gb,1,temporal_mean,2.4024269580841064,False,1,1
10,256MB,temporal,2.56 GB,hal24,24,128gb,1,spatial_mean,2.174272060394287,False,1,1
10,256MB,temporal,2.56 GB,hal24,24,128gb,1,climatology,3.5071117877960205,False,1,1
10,256MB,temporal,2.56 GB,hal24,24,128gb,1,anomaly,5.5332159996032715,False,1,1
10,256MB,auto,2.56 GB,hal24,24,128gb,1,temporal_mean,2.437462329864502,False,1,1
10,256MB,auto,2.56 GB,hal24,24,128gb,1,spatial_mean,2.3467767238616943,False,1,1
10,256MB,auto,2.56 GB,hal24,24,128gb,1,climatology,3.1236886978149414,False,1,1
10,256MB,auto,2.56 GB,hal24,24,128gb,1,anomaly,4.849467754364014,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,temporal_mean,0.594996452331543,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,spatial_mean,0.5681049823760986,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,climatology,0.8429837226867676,False,1,1
10,64MB,spatial,640.95 MB,hal24,24,128gb,1,anomaly,1.3033535480499268,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,temporal_mean,0.7570898532867432,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,spatial_mean,0.6993381977081299,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,climatology,0.9682869911193848,False,1,1
10,64MB,temporal,640.95 MB,hal24,24,128gb,1,anomaly,1.3032636642456055,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,temporal_mean,0.5636639595031738,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,spatial_mean,0.49055027961730957,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,climatology,0.7983450889587402,False,1,1
10,64MB,auto,640.95 MB,hal24,24,128gb,1,anomaly,1.5074927806854248,False,1,1
10,128MB,spatial,1.28 GB,hal24,24,128gb,1,temporal_mean,1.230914831161499,False,1,1
