operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
spatial_mean,64MB,10,5.12 GB,1,1,8,spatial,cheyenne,109gb,36,False,2.9965708255767822
temporal_mean,64MB,10,5.12 GB,1,1,8,spatial,cheyenne,109gb,36,False,1.241394281387329
climatology,64MB,10,5.12 GB,1,1,8,spatial,cheyenne,109gb,36,False,4.09220027923584
anomaly,64MB,10,5.12 GB,1,1,8,spatial,cheyenne,109gb,36,False,4.010051488876343
spatial_mean,64MB,10,5.12 GB,1,1,8,temporal,cheyenne,109gb,36,False,1.526237964630127
temporal_mean,64MB,10,5.12 GB,1,1,8,temporal,cheyenne,109gb,36,False,1.0373969078063965
climatology,64MB,10,5.12 GB,1,1,8,temporal,cheyenne,109gb,36,False,1.5303757190704346
anomaly,64MB,10,5.12 GB,1,1,8,temporal,cheyenne,109gb,36,False,3.385075569152832
spatial_mean,64MB,10,5.12 GB,1,1,8,auto,cheyenne,109gb,36,False,1.5216705799102783
temporal_mean,64MB,10,5.12 GB,1,1,8,auto,cheyenne,109gb,36,False,1.140721321105957
climatology,64MB,10,5.12 GB,1,1,8,auto,cheyenne,109gb,36,False,1.6435327529907227
anomaly,64MB,10,5.12 GB,1,1,8,auto,cheyenne,109gb,36,False,3.281735897064209
spatial_mean,64MB,10,5.12 GB,1,1,8,spatial,cheyenne,109gb,36,False,2.9965708255767822
temporal_mean,64MB,10,5.12 GB,1,1,8,spatial,cheyenne,109gb,36,False,1.241394281387329
climatology,64MB,10,5.12 GB,1,1,8,spatial,cheyenne,109gb,36,False,4.09220027923584
anomaly,64MB,10,5.12 GB,1,1,8,spatial,cheyenne,109gb,36,False,4.010051488876343
spatial_mean,64MB,10,5.12 GB,1,1,8,temporal,cheyenne,109gb,36,False,1.526237964630127
temporal_mean,64MB,10,5.12 GB,1,1,8,temporal,cheyenne,109gb,36,False,1.0373969078063965
climatology,64MB,10,5.12 GB,1,1,8,temporal,cheyenne,109gb,36,False,1.5303757190704346
anomaly,64MB,10,5.12 GB,1,1,8,temporal,cheyenne,109gb,36,False,3.385075569152832
spatial_mean,64MB,10,5.12 GB,1,1,8,auto,cheyenne,109gb,36,False,1.5216705799102783
temporal_mean,64MB,10,5.12 GB,1,1,8,auto,cheyenne,109gb,36,False,1.140721321105957
climatology,64MB,10,5.12 GB,1,1,8,auto,cheyenne,109gb,36,False,1.6435327529907227
anomaly,64MB,10,5.12 GB,1,1,8,auto,cheyenne,109gb,36,False,3.281735897064209
spatial_mean,128MB,10,10.24 GB,1,1,8,spatial,cheyenne,109gb,36,False,3.7058117389678955
