chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
8MB,spatial,256.58 MB,hal,4,global_mean,0.11711359024047852,8
8MB,spatial,256.58 MB,hal,4,temporal_mean,0.12979984283447266,8
8MB,spatial,256.58 MB,hal,4,climatology,0.3875696659088135,8
8MB,spatial,256.58 MB,hal,4,anomaly,0.735919713973999,8
8MB,temporal,256.58 MB,hal,4,global_mean,0.23549151420593262,8
8MB,temporal,256.58 MB,hal,4,temporal_mean,0.09475493431091309,8
8MB,temporal,256.58 MB,hal,4,climatology,0.30411553382873535,8
8MB,temporal,256.58 MB,hal,4,anomaly,0.476043701171875,8
8MB,auto,256.58 MB,hal,4,global_mean,0.10744214057922363,8
8MB,auto,256.58 MB,hal,4,temporal_mean,0.12525701522827148,8
8MB,auto,256.58 MB,hal,4,climatology,0.29744410514831543,8
8MB,auto,256.58 MB,hal,4,anomaly,0.6941013336181641,8
8MB,spatial,256.58 MB,hal,4,global_mean,0.11711359024047852,8
8MB,spatial,256.58 MB,hal,4,temporal_mean,0.12979984283447266,8
8MB,spatial,256.58 MB,hal,4,climatology,0.3875696659088135,8
8MB,spatial,256.58 MB,hal,4,anomaly,0.735919713973999,8
8MB,temporal,256.58 MB,hal,4,global_mean,0.23549151420593262,8
8MB,temporal,256.58 MB,hal,4,temporal_mean,0.09475493431091309,8
8MB,temporal,256.58 MB,hal,4,climatology,0.30411553382873535,8
8MB,temporal,256.58 MB,hal,4,anomaly,0.476043701171875,8
8MB,auto,256.58 MB,hal,4,global_mean,0.10744214057922363,8
8MB,auto,256.58 MB,hal,4,temporal_mean,0.12525701522827148,8
8MB,auto,256.58 MB,hal,4,climatology,0.29744410514831543,8
8MB,auto,256.58 MB,hal,4,anomaly,0.6941013336181641,8
16MB,spatial,512.17 MB,hal,4,global_mean,0.13502907752990723,8
16MB,spatial,512.17 MB,hal,4,temporal_mean,0.13114190101623535,8
16MB,spatial,512.17 MB,hal,4,climatology,0.3975372314453125,8
16MB,spatial,512.17 MB,hal,4,anomaly,0.5669026374816895,8
