chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
8MB,spatial,32.45 MB,hal,4,global_mean,0.04449152946472168,1
8MB,spatial,32.45 MB,hal,4,temporal_mean,0.05343437194824219,1
8MB,spatial,32.45 MB,hal,4,climatology,0.05633211135864258,1
8MB,spatial,32.45 MB,hal,4,anomaly,0.07777881622314453,1
8MB,temporal,32.45 MB,hal,4,global_mean,0.09221935272216797,1
8MB,temporal,32.45 MB,hal,4,temporal_mean,0.03072953224182129,1
8MB,temporal,32.45 MB,hal,4,climatology,0.1054079532623291,1
8MB,temporal,32.45 MB,hal,4,anomaly,0.1743183135986328,1
8MB,auto,32.45 MB,hal,4,global_mean,0.10660076141357422,1
8MB,auto,32.45 MB,hal,4,temporal_mean,0.1313343048095703,1
8MB,auto,32.45 MB,hal,4,climatology,0.154710054397583,1
8MB,auto,32.45 MB,hal,4,anomaly,0.22493886947631836,1
8MB,spatial,32.45 MB,hal,4,global_mean,0.04449152946472168,1
8MB,spatial,32.45 MB,hal,4,temporal_mean,0.05343437194824219,1
8MB,spatial,32.45 MB,hal,4,climatology,0.05633211135864258,1
8MB,spatial,32.45 MB,hal,4,anomaly,0.07777881622314453,1
8MB,temporal,32.45 MB,hal,4,global_mean,0.09221935272216797,1
8MB,temporal,32.45 MB,hal,4,temporal_mean,0.03072953224182129,1
8MB,temporal,32.45 MB,hal,4,climatology,0.1054079532623291,1
8MB,temporal,32.45 MB,hal,4,anomaly,0.1743183135986328,1
8MB,auto,32.45 MB,hal,4,global_mean,0.10660076141357422,1
8MB,auto,32.45 MB,hal,4,temporal_mean,0.1313343048095703,1
8MB,auto,32.45 MB,hal,4,climatology,0.154710054397583,1
8MB,auto,32.45 MB,hal,4,anomaly,0.22493886947631836,1
16MB,spatial,64.89 MB,hal,4,global_mean,0.05147123336791992,1
16MB,spatial,64.89 MB,hal,4,temporal_mean,0.04809141159057617,1
16MB,spatial,64.89 MB,hal,4,climatology,0.08434867858886719,1
16MB,spatial,64.89 MB,hal,4,anomaly,0.12205910682678223,1
16MB,temporal,64.89 MB,hal,4,global_mean,0.1014547348022461,1
16MB,temporal,64.89 MB,hal,4,temporal_mean,0.040738582611083984,1
16MB,temporal,64.89 MB,hal,4,climatology,0.12339520454406738,1
16MB,temporal,64.89 MB,hal,4,anomaly,0.2048351764678955,1
16MB,auto,64.89 MB,hal,4,global_mean,0.12071967124938965,1
