chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
8MB,spatial,32.45 MB,hal,2,global_mean,0.037858009338378906,2
8MB,spatial,32.45 MB,hal,2,temporal_mean,0.050313472747802734,2
8MB,spatial,32.45 MB,hal,2,climatology,0.061450958251953125,2
8MB,spatial,32.45 MB,hal,2,anomaly,0.07681083679199219,2
8MB,temporal,32.45 MB,hal,2,global_mean,0.0826256275177002,2
8MB,temporal,32.45 MB,hal,2,temporal_mean,0.03188943862915039,2
8MB,temporal,32.45 MB,hal,2,climatology,0.08628606796264648,2
8MB,temporal,32.45 MB,hal,2,anomaly,0.14507198333740234,2
8MB,auto,32.45 MB,hal,2,global_mean,0.1144258975982666,2
8MB,auto,32.45 MB,hal,2,temporal_mean,0.12958478927612305,2
8MB,auto,32.45 MB,hal,2,climatology,0.15271544456481934,2
8MB,auto,32.45 MB,hal,2,anomaly,0.20830869674682617,2
8MB,spatial,32.45 MB,hal,2,global_mean,0.037858009338378906,2
8MB,spatial,32.45 MB,hal,2,temporal_mean,0.050313472747802734,2
8MB,spatial,32.45 MB,hal,2,climatology,0.061450958251953125,2
8MB,spatial,32.45 MB,hal,2,anomaly,0.07681083679199219,2
8MB,temporal,32.45 MB,hal,2,global_mean,0.0826256275177002,2
8MB,temporal,32.45 MB,hal,2,temporal_mean,0.03188943862915039,2
8MB,temporal,32.45 MB,hal,2,climatology,0.08628606796264648,2
8MB,temporal,32.45 MB,hal,2,anomaly,0.14507198333740234,2
8MB,auto,32.45 MB,hal,2,global_mean,0.1144258975982666,2
8MB,auto,32.45 MB,hal,2,temporal_mean,0.12958478927612305,2
8MB,auto,32.45 MB,hal,2,climatology,0.15271544456481934,2
8MB,auto,32.45 MB,hal,2,anomaly,0.20830869674682617,2
16MB,spatial,64.89 MB,hal,2,global_mean,0.04337453842163086,2
16MB,spatial,64.89 MB,hal,2,temporal_mean,0.04808473587036133,2
16MB,spatial,64.89 MB,hal,2,climatology,0.07647037506103516,2
16MB,spatial,64.89 MB,hal,2,anomaly,0.11766791343688965,2
16MB,temporal,64.89 MB,hal,2,global_mean,0.0884401798248291,2
16MB,temporal,64.89 MB,hal,2,temporal_mean,0.0397946834564209,2
16MB,temporal,64.89 MB,hal,2,climatology,0.11107850074768066,2
16MB,temporal,64.89 MB,hal,2,anomaly,0.17210674285888672,2
16MB,auto,64.89 MB,hal,2,global_mean,0.10853791236877441,2
16MB,auto,64.89 MB,hal,2,temporal_mean,0.12743878364562988,2
16MB,auto,64.89 MB,hal,2,climatology,0.30553269386291504,2
16MB,auto,64.89 MB,hal,2,anomaly,0.3749198913574219,2
8MB,spatial,32.45 MB,hal,2,global_mean,0.037858009338378906,2
8MB,spatial,32.45 MB,hal,2,temporal_mean,0.050313472747802734,2
8MB,spatial,32.45 MB,hal,2,climatology,0.061450958251953125,2
8MB,spatial,32.45 MB,hal,2,anomaly,0.07681083679199219,2
8MB,temporal,32.45 MB,hal,2,global_mean,0.0826256275177002,2
8MB,temporal,32.45 MB,hal,2,temporal_mean,0.03188943862915039,2
8MB,temporal,32.45 MB,hal,2,climatology,0.08628606796264648,2
8MB,temporal,32.45 MB,hal,2,anomaly,0.14507198333740234,2
8MB,auto,32.45 MB,hal,2,global_mean,0.1144258975982666,2
8MB,auto,32.45 MB,hal,2,temporal_mean,0.12958478927612305,2
8MB,auto,32.45 MB,hal,2,climatology,0.15271544456481934,2
8MB,auto,32.45 MB,hal,2,anomaly,0.20830869674682617,2
16MB,spatial,64.89 MB,hal,2,global_mean,0.04337453842163086,2
16MB,spatial,64.89 MB,hal,2,temporal_mean,0.04808473587036133,2
16MB,spatial,64.89 MB,hal,2,climatology,0.07647037506103516,2
16MB,spatial,64.89 MB,hal,2,anomaly,0.11766791343688965,2
16MB,temporal,64.89 MB,hal,2,global_mean,0.0884401798248291,2
16MB,temporal,64.89 MB,hal,2,temporal_mean,0.0397946834564209,2
16MB,temporal,64.89 MB,hal,2,climatology,0.11107850074768066,2
16MB,temporal,64.89 MB,hal,2,anomaly,0.17210674285888672,2
16MB,auto,64.89 MB,hal,2,global_mean,0.10853791236877441,2
16MB,auto,64.89 MB,hal,2,temporal_mean,0.12743878364562988,2
16MB,auto,64.89 MB,hal,2,climatology,0.30553269386291504,2
16MB,auto,64.89 MB,hal,2,anomaly,0.3749198913574219,2
32MB,spatial,128.78 MB,hal,2,global_mean,0.06574177742004395,2
32MB,spatial,128.78 MB,hal,2,temporal_mean,0.0698404312133789,2
32MB,spatial,128.78 MB,hal,2,climatology,0.10102605819702148,2
32MB,spatial,128.78 MB,hal,2,anomaly,0.15020489692687988,2
