chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
8MB,spatial,128.78 MB,hal,2,global_mean,0.07556009292602539,8
8MB,spatial,128.78 MB,hal,2,temporal_mean,0.09207415580749512,8
8MB,spatial,128.78 MB,hal,2,climatology,0.13983631134033203,8
8MB,spatial,128.78 MB,hal,2,anomaly,0.1864936351776123,8
8MB,temporal,128.78 MB,hal,2,global_mean,0.1193840503692627,8
8MB,temporal,128.78 MB,hal,2,temporal_mean,0.06622886657714844,8
8MB,temporal,128.78 MB,hal,2,climatology,0.14235258102416992,8
8MB,temporal,128.78 MB,hal,2,anomaly,0.24011707305908203,8
8MB,auto,128.78 MB,hal,2,global_mean,0.07445645332336426,8
8MB,auto,128.78 MB,hal,2,temporal_mean,0.08704304695129395,8
8MB,auto,128.78 MB,hal,2,climatology,0.15753459930419922,8
8MB,auto,128.78 MB,hal,2,anomaly,0.22354745864868164,8
8MB,spatial,128.78 MB,hal,2,global_mean,0.07556009292602539,8
8MB,spatial,128.78 MB,hal,2,temporal_mean,0.09207415580749512,8
8MB,spatial,128.78 MB,hal,2,climatology,0.13983631134033203,8
8MB,spatial,128.78 MB,hal,2,anomaly,0.1864936351776123,8
8MB,temporal,128.78 MB,hal,2,global_mean,0.1193840503692627,8
8MB,temporal,128.78 MB,hal,2,temporal_mean,0.06622886657714844,8
8MB,temporal,128.78 MB,hal,2,climatology,0.14235258102416992,8
8MB,temporal,128.78 MB,hal,2,anomaly,0.24011707305908203,8
8MB,auto,128.78 MB,hal,2,global_mean,0.07445645332336426,8
8MB,auto,128.78 MB,hal,2,temporal_mean,0.08704304695129395,8
8MB,auto,128.78 MB,hal,2,climatology,0.15753459930419922,8
8MB,auto,128.78 MB,hal,2,anomaly,0.22354745864868164,8
16MB,spatial,256.58 MB,hal,2,global_mean,0.2721824645996094,8
16MB,spatial,256.58 MB,hal,2,temporal_mean,0.08605384826660156,8
16MB,spatial,256.58 MB,hal,2,climatology,0.22101783752441406,8
16MB,spatial,256.58 MB,hal,2,anomaly,0.3161599636077881,8
16MB,temporal,256.58 MB,hal,2,global_mean,0.12479114532470703,8
16MB,temporal,256.58 MB,hal,2,temporal_mean,0.06935954093933105,8
16MB,temporal,256.58 MB,hal,2,climatology,0.15831828117370605,8
16MB,temporal,256.58 MB,hal,2,anomaly,0.24077415466308594,8
16MB,auto,256.58 MB,hal,2,global_mean,0.087371826171875,8
16MB,auto,256.58 MB,hal,2,temporal_mean,0.10102701187133789,8
16MB,auto,256.58 MB,hal,2,climatology,0.2552762031555176,8
16MB,auto,256.58 MB,hal,2,anomaly,0.40441322326660156,8
8MB,spatial,128.78 MB,hal,2,global_mean,0.07556009292602539,8
8MB,spatial,128.78 MB,hal,2,temporal_mean,0.09207415580749512,8
8MB,spatial,128.78 MB,hal,2,climatology,0.13983631134033203,8
8MB,spatial,128.78 MB,hal,2,anomaly,0.1864936351776123,8
8MB,temporal,128.78 MB,hal,2,global_mean,0.1193840503692627,8
8MB,temporal,128.78 MB,hal,2,temporal_mean,0.06622886657714844,8
8MB,temporal,128.78 MB,hal,2,climatology,0.14235258102416992,8
8MB,temporal,128.78 MB,hal,2,anomaly,0.24011707305908203,8
