operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
spatial_mean,32MB,10,640.95 MB,1,1,2,spatial,wrangler,128gb,24,False,0.6905224323272705
temporal_mean,32MB,10,640.95 MB,1,1,2,spatial,wrangler,128gb,24,False,0.23659253120422363
climatology,32MB,10,640.95 MB,1,1,2,spatial,wrangler,128gb,24,False,0.3842897415161133
anomaly,32MB,10,640.95 MB,1,1,2,spatial,wrangler,128gb,24,False,0.5594677925109863
spatial_mean,32MB,10,640.95 MB,1,1,2,temporal,wrangler,128gb,24,False,0.3344104290008545
temporal_mean,32MB,10,640.95 MB,1,1,2,temporal,wrangler,128gb,24,False,0.2483501434326172
climatology,32MB,10,640.95 MB,1,1,2,temporal,wrangler,128gb,24,False,0.3446650505065918
anomaly,32MB,10,640.95 MB,1,1,2,temporal,wrangler,128gb,24,False,0.5369324684143066
spatial_mean,32MB,10,640.95 MB,1,1,2,auto,wrangler,128gb,24,False,0.44617509841918945
temporal_mean,32MB,10,640.95 MB,1,1,2,auto,wrangler,128gb,24,False,0.3176398277282715
climatology,32MB,10,640.95 MB,1,1,2,auto,wrangler,128gb,24,False,0.39550352096557617
anomaly,32MB,10,640.95 MB,1,1,2,auto,wrangler,128gb,24,False,0.7558839321136475
spatial_mean,32MB,10,640.95 MB,1,1,2,spatial,wrangler,128gb,24,False,0.6905224323272705
temporal_mean,32MB,10,640.95 MB,1,1,2,spatial,wrangler,128gb,24,False,0.23659253120422363
climatology,32MB,10,640.95 MB,1,1,2,spatial,wrangler,128gb,24,False,0.3842897415161133
anomaly,32MB,10,640.95 MB,1,1,2,spatial,wrangler,128gb,24,False,0.5594677925109863
spatial_mean,32MB,10,640.95 MB,1,1,2,temporal,wrangler,128gb,24,False,0.3344104290008545
temporal_mean,32MB,10,640.95 MB,1,1,2,temporal,wrangler,128gb,24,False,0.2483501434326172
climatology,32MB,10,640.95 MB,1,1,2,temporal,wrangler,128gb,24,False,0.3446650505065918
anomaly,32MB,10,640.95 MB,1,1,2,temporal,wrangler,128gb,24,False,0.5369324684143066
spatial_mean,32MB,10,640.95 MB,1,1,2,auto,wrangler,128gb,24,False,0.44617509841918945
temporal_mean,32MB,10,640.95 MB,1,1,2,auto,wrangler,128gb,24,False,0.3176398277282715
climatology,32MB,10,640.95 MB,1,1,2,auto,wrangler,128gb,24,False,0.39550352096557617
anomaly,32MB,10,640.95 MB,1,1,2,auto,wrangler,128gb,24,False,0.7558839321136475
spatial_mean,64MB,10,1.28 GB,1,1,2,spatial,wrangler,128gb,24,False,0.9055008888244629
temporal_mean,64MB,10,1.28 GB,1,1,2,spatial,wrangler,128gb,24,False,0.5216701030731201
climatology,64MB,10,1.28 GB,1,1,2,spatial,wrangler,128gb,24,False,0.7668845653533936
anomaly,64MB,10,1.28 GB,1,1,2,spatial,wrangler,128gb,24,False,1.2257990837097168
spatial_mean,64MB,10,1.28 GB,1,1,2,temporal,wrangler,128gb,24,False,0.7946531772613525
temporal_mean,64MB,10,1.28 GB,1,1,2,temporal,wrangler,128gb,24,False,0.5868992805480957
climatology,64MB,10,1.28 GB,1,1,2,temporal,wrangler,128gb,24,False,0.8226759433746338
anomaly,64MB,10,1.28 GB,1,1,2,temporal,wrangler,128gb,24,False,1.310840129852295
spatial_mean,64MB,10,1.28 GB,1,1,2,auto,wrangler,128gb,24,False,0.7958638668060303
temporal_mean,64MB,10,1.28 GB,1,1,2,auto,wrangler,128gb,24,False,0.5542550086975098
climatology,64MB,10,1.28 GB,1,1,2,auto,wrangler,128gb,24,False,0.7873952388763428
anomaly,64MB,10,1.28 GB,1,1,2,auto,wrangler,128gb,24,False,1.2824666500091553
spatial_mean,32MB,10,640.95 MB,1,1,2,spatial,wrangler,128gb,24,False,0.6905224323272705
temporal_mean,32MB,10,640.95 MB,1,1,2,spatial,wrangler,128gb,24,False,0.23659253120422363
climatology,32MB,10,640.95 MB,1,1,2,spatial,wrangler,128gb,24,False,0.3842897415161133
anomaly,32MB,10,640.95 MB,1,1,2,spatial,wrangler,128gb,24,False,0.5594677925109863
spatial_mean,32MB,10,640.95 MB,1,1,2,temporal,wrangler,128gb,24,False,0.3344104290008545
temporal_mean,32MB,10,640.95 MB,1,1,2,temporal,wrangler,128gb,24,False,0.2483501434326172
climatology,32MB,10,640.95 MB,1,1,2,temporal,wrangler,128gb,24,False,0.3446650505065918
anomaly,32MB,10,640.95 MB,1,1,2,temporal,wrangler,128gb,24,False,0.5369324684143066
spatial_mean,32MB,10,640.95 MB,1,1,2,auto,wrangler,128gb,24,False,0.44617509841918945
temporal_mean,32MB,10,640.95 MB,1,1,2,auto,wrangler,128gb,24,False,0.3176398277282715
climatology,32MB,10,640.95 MB,1,1,2,auto,wrangler,128gb,24,False,0.39550352096557617
anomaly,32MB,10,640.95 MB,1,1,2,auto,wrangler,128gb,24,False,0.7558839321136475
spatial_mean,64MB,10,1.28 GB,1,1,2,spatial,wrangler,128gb,24,False,0.9055008888244629
temporal_mean,64MB,10,1.28 GB,1,1,2,spatial,wrangler,128gb,24,False,0.5216701030731201
climatology,64MB,10,1.28 GB,1,1,2,spatial,wrangler,128gb,24,False,0.7668845653533936
anomaly,64MB,10,1.28 GB,1,1,2,spatial,wrangler,128gb,24,False,1.2257990837097168
spatial_mean,64MB,10,1.28 GB,1,1,2,temporal,wrangler,128gb,24,False,0.7946531772613525
temporal_mean,64MB,10,1.28 GB,1,1,2,temporal,wrangler,128gb,24,False,0.5868992805480957
climatology,64MB,10,1.28 GB,1,1,2,temporal,wrangler,128gb,24,False,0.8226759433746338
anomaly,64MB,10,1.28 GB,1,1,2,temporal,wrangler,128gb,24,False,1.310840129852295
spatial_mean,64MB,10,1.28 GB,1,1,2,auto,wrangler,128gb,24,False,0.7958638668060303
