operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
spatial_mean,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,1.0390503406524658
temporal_mean,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,0.3781759738922119
climatology,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,0.7206940650939941
anomaly,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,0.9840543270111084
spatial_mean,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.4436984062194824
temporal_mean,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.3308238983154297
climatology,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.48429059982299805
anomaly,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.8552165031433105
spatial_mean,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,0.6198906898498535
temporal_mean,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,0.377291202545166
climatology,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,0.5358130931854248
anomaly,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,1.0110299587249756
spatial_mean,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,1.0390503406524658
temporal_mean,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,0.3781759738922119
climatology,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,0.7206940650939941
anomaly,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,0.9840543270111084
spatial_mean,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.4436984062194824
temporal_mean,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.3308238983154297
climatology,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.48429059982299805
anomaly,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.8552165031433105
spatial_mean,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,0.6198906898498535
temporal_mean,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,0.377291202545166
climatology,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,0.5358130931854248
anomaly,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,1.0110299587249756
spatial_mean,64MB,10,5.12 GB,1,1,8,spatial,wrangler,128gb,24,False,1.2869253158569336
temporal_mean,64MB,10,5.12 GB,1,1,8,spatial,wrangler,128gb,24,False,0.6231420040130615
climatology,64MB,10,5.12 GB,1,1,8,spatial,wrangler,128gb,24,False,1.0026566982269287
anomaly,64MB,10,5.12 GB,1,1,8,spatial,wrangler,128gb,24,False,1.5021026134490967
spatial_mean,64MB,10,5.12 GB,1,1,8,temporal,wrangler,128gb,24,False,0.8919456005096436
temporal_mean,64MB,10,5.12 GB,1,1,8,temporal,wrangler,128gb,24,False,0.6093811988830566
climatology,64MB,10,5.12 GB,1,1,8,temporal,wrangler,128gb,24,False,0.8524060249328613
anomaly,64MB,10,5.12 GB,1,1,8,temporal,wrangler,128gb,24,False,1.5144157409667969
spatial_mean,64MB,10,5.12 GB,1,1,8,auto,wrangler,128gb,24,False,0.7938821315765381
temporal_mean,64MB,10,5.12 GB,1,1,8,auto,wrangler,128gb,24,False,0.5064451694488525
climatology,64MB,10,5.12 GB,1,1,8,auto,wrangler,128gb,24,False,0.8114955425262451
anomaly,64MB,10,5.12 GB,1,1,8,auto,wrangler,128gb,24,False,1.5328900814056396
spatial_mean,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,1.0390503406524658
temporal_mean,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,0.3781759738922119
climatology,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,0.7206940650939941
anomaly,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,0.9840543270111084
spatial_mean,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.4436984062194824
temporal_mean,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.3308238983154297
climatology,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.48429059982299805
anomaly,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.8552165031433105
spatial_mean,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,0.6198906898498535
temporal_mean,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,0.377291202545166
climatology,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,0.5358130931854248
anomaly,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,1.0110299587249756
spatial_mean,64MB,10,5.12 GB,1,1,8,spatial,wrangler,128gb,24,False,1.2869253158569336
temporal_mean,64MB,10,5.12 GB,1,1,8,spatial,wrangler,128gb,24,False,0.6231420040130615
climatology,64MB,10,5.12 GB,1,1,8,spatial,wrangler,128gb,24,False,1.0026566982269287
anomaly,64MB,10,5.12 GB,1,1,8,spatial,wrangler,128gb,24,False,1.5021026134490967
spatial_mean,64MB,10,5.12 GB,1,1,8,temporal,wrangler,128gb,24,False,0.8919456005096436
temporal_mean,64MB,10,5.12 GB,1,1,8,temporal,wrangler,128gb,24,False,0.6093811988830566
