chunk_size,dataset_size,num_nodes,operation,runtime,worker_per_node
32MB,512.17 MB,8,anomaly,1.3661079406738281,2
64MB,1.02 GB,8,global_mean,0.14235639572143555,2
64MB,1.02 GB,8,temporal_mean,0.1171867847442627,2
64MB,1.02 GB,8,climatology,0.2979316711425781,2
64MB,1.02 GB,8,anomaly,2.762988567352295,2
128MB,2.05 GB,8,global_mean,0.21370816230773926,2
128MB,2.05 GB,8,temporal_mean,0.19860053062438965,2
128MB,2.05 GB,8,climatology,0.33947038650512695,2
128MB,2.05 GB,8,anomaly,7.085547924041748,2
256MB,4.10 GB,8,global_mean,0.3569774627685547,2
256MB,4.10 GB,8,temporal_mean,0.3224518299102783,2
256MB,4.10 GB,8,climatology,0.5471780300140381,2
256MB,4.10 GB,8,anomaly,15.640417098999023,2
512MB,8.19 GB,8,global_mean,0.7728297710418701,2
512MB,8.19 GB,8,temporal_mean,0.627375602722168,2
512MB,8.19 GB,8,climatology,0.9898571968078613,2
512MB,8.19 GB,8,anomaly,31.391849756240845,2
8MB,256.58 MB,16,global_mean,0.14246559143066406,2
8MB,256.58 MB,16,temporal_mean,0.1193687915802002,2
8MB,256.58 MB,16,climatology,0.286787748336792,2
8MB,256.58 MB,16,anomaly,0.8977510929107666,2
16MB,512.17 MB,16,global_mean,0.12980246543884277,2
16MB,512.17 MB,16,temporal_mean,0.11611080169677734,2
16MB,512.17 MB,16,climatology,0.19173717498779297,2
16MB,512.17 MB,16,anomaly,1.43473482131958,2
32MB,1.02 GB,16,global_mean,0.13937687873840332,2
32MB,1.02 GB,16,temporal_mean,0.20995736122131348,2
32MB,1.02 GB,16,climatology,0.2172226905822754,2
32MB,1.02 GB,16,anomaly,2.7366790771484375,2
64MB,2.05 GB,16,global_mean,0.17912578582763672,2
64MB,2.05 GB,16,temporal_mean,0.14633536338806152,2
64MB,2.05 GB,16,climatology,0.2716245651245117,2
64MB,2.05 GB,16,anomaly,5.406760215759277,2
128MB,4.10 GB,16,global_mean,0.23732924461364746,2
128MB,4.10 GB,16,temporal_mean,0.2314305305480957,2
128MB,4.10 GB,16,climatology,0.38268446922302246,2
128MB,4.10 GB,16,anomaly,14.120985269546509,2
256MB,8.19 GB,16,global_mean,0.3791842460632324,2
256MB,8.19 GB,16,temporal_mean,0.36206912994384766,2
256MB,8.19 GB,16,climatology,0.6119949817657471,2
256MB,8.19 GB,16,anomaly,30.398170232772827,2
512MB,16.38 GB,16,global_mean,0.7069821357727051,2
512MB,16.38 GB,16,temporal_mean,0.6943082809448242,2
512MB,16.38 GB,16,climatology,1.0796749591827393,2
512MB,16.38 GB,16,anomaly,61.99592876434326,2
8MB,512.17 MB,32,global_mean,0.40697240829467773,2
8MB,512.17 MB,32,temporal_mean,0.18907594680786133,2
8MB,512.17 MB,32,climatology,0.24227619171142578,2
8MB,512.17 MB,32,anomaly,1.7087154388427734,2
16MB,1.02 GB,32,global_mean,0.1744232177734375,2
16MB,1.02 GB,32,temporal_mean,0.18953561782836914,2
16MB,1.02 GB,32,climatology,0.3989441394805908,2
16MB,1.02 GB,32,anomaly,2.466412305831909,2
32MB,2.05 GB,32,global_mean,0.18783259391784668,2
32MB,2.05 GB,32,temporal_mean,0.3099493980407715,2
32MB,2.05 GB,32,climatology,0.32352280616760254,2
32MB,2.05 GB,32,anomaly,5.5011513233184814,2
64MB,4.10 GB,32,global_mean,0.2349085807800293,2
64MB,4.10 GB,32,temporal_mean,0.2408432960510254,2
64MB,4.10 GB,32,climatology,0.4152810573577881,2
64MB,4.10 GB,32,anomaly,9.86114764213562,2
128MB,8.19 GB,32,global_mean,0.6870827674865723,2
128MB,8.19 GB,32,temporal_mean,0.30835533142089844,2
128MB,8.19 GB,32,climatology,0.4822256565093994,2
128MB,8.19 GB,32,anomaly,25.893125772476196,2
256MB,16.38 GB,32,global_mean,0.4224534034729004,2
256MB,16.38 GB,32,temporal_mean,0.4481525421142578,2
256MB,16.38 GB,32,climatology,1.444209337234497,2
256MB,16.38 GB,32,anomaly,57.87404489517212,2
512MB,32.77 GB,32,global_mean,0.7775170803070068,2
512MB,32.77 GB,32,temporal_mean,0.9059057235717773,2
512MB,32.77 GB,32,climatology,1.2463634014129639,2
512MB,32.77 GB,32,anomaly,126.44341969490051,2
