chunk_size,dataset_size,num_nodes,operation,runtime,worker_per_node
8MB,8.85 MB,1,global_mean,0.0620114803314209,1
8MB,8.85 MB,1,temporal_mean,0.028225421905517578,1
8MB,8.85 MB,1,climatology,0.04035162925720215,1
8MB,8.85 MB,1,anomaly,0.07113790512084961,1
16MB,16.72 MB,1,global_mean,0.03575634956359863,1
16MB,16.72 MB,1,temporal_mean,0.031066179275512695,1
16MB,16.72 MB,1,climatology,0.04718446731567383,1
16MB,16.72 MB,1,anomaly,0.10703516006469727,1
32MB,32.45 MB,1,global_mean,0.05654191970825195,1
32MB,32.45 MB,1,temporal_mean,0.04017329216003418,1
32MB,32.45 MB,1,climatology,0.06763720512390137,1
32MB,32.45 MB,1,anomaly,0.15249991416931152,1
64MB,64.89 MB,1,global_mean,0.0908806324005127,1
64MB,64.89 MB,1,temporal_mean,0.06130528450012207,1
64MB,64.89 MB,1,climatology,0.12355971336364746,1
64MB,64.89 MB,1,anomaly,0.3856818675994873,1
128MB,128.78 MB,1,global_mean,0.16059327125549316,1
128MB,128.78 MB,1,temporal_mean,0.15215229988098145,1
128MB,128.78 MB,1,climatology,0.225616455078125,1
128MB,128.78 MB,1,anomaly,0.8283629417419434,1
256MB,256.58 MB,1,global_mean,0.2961153984069824,1
256MB,256.58 MB,1,temporal_mean,0.27675414085388184,1
256MB,256.58 MB,1,climatology,0.45043277740478516,1
256MB,256.58 MB,1,anomaly,1.6780285835266113,1
512MB,512.17 MB,1,global_mean,0.5859858989715576,1
512MB,512.17 MB,1,temporal_mean,0.5570037364959717,1
512MB,512.17 MB,1,climatology,0.853508710861206,1
512MB,512.17 MB,1,anomaly,3.38273549079895,1
8MB,16.72 MB,2,global_mean,0.04185199737548828,1
8MB,16.72 MB,2,temporal_mean,0.03282904624938965,1
8MB,16.72 MB,2,climatology,0.055233001708984375,1
8MB,16.72 MB,2,anomaly,0.10179424285888672,1
16MB,32.45 MB,2,global_mean,0.043413639068603516,1
16MB,32.45 MB,2,temporal_mean,0.035040855407714844,1
16MB,32.45 MB,2,climatology,0.05912470817565918,1
16MB,32.45 MB,2,anomaly,0.13855981826782227,1
