chunk_size,dataset_size,num_nodes,operation,runtime,worker_per_node
8MB,8.85 MB,1,global_mean,0.03270149230957031,1
8MB,8.85 MB,1,temporal_mean,0.029026508331298828,1
8MB,8.85 MB,1,climatology,0.03829193115234375,1
8MB,8.85 MB,1,anomaly,0.07524275779724121,1
16MB,16.72 MB,1,global_mean,0.03829026222229004,1
16MB,16.72 MB,1,temporal_mean,0.03303647041320801,1
16MB,16.72 MB,1,climatology,0.04576897621154785,1
16MB,16.72 MB,1,anomaly,0.09758758544921875,1
32MB,32.45 MB,1,global_mean,0.056162118911743164,1
32MB,32.45 MB,1,temporal_mean,0.03942418098449707,1
32MB,32.45 MB,1,climatology,0.06421732902526855,1
32MB,32.45 MB,1,anomaly,0.1343235969543457,1
64MB,64.89 MB,1,global_mean,0.09259796142578125,1
64MB,64.89 MB,1,temporal_mean,0.06099295616149902,1
64MB,64.89 MB,1,climatology,0.11653947830200195,1
64MB,64.89 MB,1,anomaly,0.3822474479675293,1
128MB,128.78 MB,1,global_mean,0.17250967025756836,1
128MB,128.78 MB,1,temporal_mean,0.15202116966247559,1
128MB,128.78 MB,1,climatology,0.23929619789123535,1
128MB,128.78 MB,1,anomaly,0.8930604457855225,1
256MB,256.58 MB,1,global_mean,0.30129146575927734,1
256MB,256.58 MB,1,temporal_mean,0.28234028816223145,1
256MB,256.58 MB,1,climatology,0.43964505195617676,1
256MB,256.58 MB,1,anomaly,1.6851646900177002,1
512MB,512.17 MB,1,global_mean,0.602104902267456,1
512MB,512.17 MB,1,temporal_mean,0.5692532062530518,1
512MB,512.17 MB,1,climatology,0.8498151302337646,1
512MB,512.17 MB,1,anomaly,3.4023046493530273,1
8MB,16.72 MB,2,global_mean,0.04560422897338867,1
8MB,16.72 MB,2,temporal_mean,0.03321242332458496,1
8MB,16.72 MB,2,climatology,0.05373644828796387,1
8MB,16.72 MB,2,anomaly,0.10425758361816406,1
16MB,32.45 MB,2,global_mean,0.04484128952026367,1
16MB,32.45 MB,2,temporal_mean,0.03540754318237305,1
16MB,32.45 MB,2,climatology,0.06033611297607422,1
16MB,32.45 MB,2,anomaly,0.13932228088378906,1
32MB,64.89 MB,2,global_mean,0.06116843223571777,1
32MB,64.89 MB,2,temporal_mean,0.04530835151672363,1
32MB,64.89 MB,2,climatology,0.08396673202514648,1
32MB,64.89 MB,2,anomaly,0.25269603729248047,1
64MB,128.78 MB,2,global_mean,0.10187125205993652,1
64MB,128.78 MB,2,temporal_mean,0.0933389663696289,1
64MB,128.78 MB,2,climatology,0.13256120681762695,1
64MB,128.78 MB,2,anomaly,0.5371592044830322,1
128MB,256.58 MB,2,global_mean,0.18384504318237305,1
128MB,256.58 MB,2,temporal_mean,0.1655724048614502,1
128MB,256.58 MB,2,climatology,0.2617959976196289,1
128MB,256.58 MB,2,anomaly,1.302445888519287,1
256MB,512.17 MB,2,global_mean,0.31745052337646484,1
256MB,512.17 MB,2,temporal_mean,0.2932412624359131,1
256MB,512.17 MB,2,climatology,0.47621583938598633,1
256MB,512.17 MB,2,anomaly,2.7738685607910156,1
512MB,1.02 GB,2,global_mean,0.6314780712127686,1
512MB,1.02 GB,2,temporal_mean,0.5926730632781982,1
512MB,1.02 GB,2,climatology,0.894127368927002,1
512MB,1.02 GB,2,anomaly,5.28362512588501,1
8MB,32.45 MB,4,global_mean,0.05631566047668457,1
8MB,32.45 MB,4,temporal_mean,0.03695869445800781,1
8MB,32.45 MB,4,climatology,0.061578989028930664,1
8MB,32.45 MB,4,anomaly,0.1510326862335205,1
16MB,64.89 MB,4,global_mean,0.05197572708129883,1
16MB,64.89 MB,4,temporal_mean,0.03746485710144043,1
16MB,64.89 MB,4,climatology,0.07610583305358887,1
16MB,64.89 MB,4,anomaly,0.24749350547790527,1
32MB,128.78 MB,4,global_mean,0.06800723075866699,1
32MB,128.78 MB,4,temporal_mean,0.047814369201660156,1
32MB,128.78 MB,4,climatology,0.09248566627502441,1
32MB,128.78 MB,4,anomaly,0.3920612335205078,1
64MB,256.58 MB,4,global_mean,0.1135101318359375,1
64MB,256.58 MB,4,temporal_mean,0.09477543830871582,1
64MB,256.58 MB,4,climatology,0.16614294052124023,1
64MB,256.58 MB,4,anomaly,0.9494996070861816,1
128MB,512.17 MB,4,global_mean,0.19186949729919434,1
128MB,512.17 MB,4,temporal_mean,0.17061829566955566,1
128MB,512.17 MB,4,climatology,0.2657465934753418,1
128MB,512.17 MB,4,anomaly,2.174283981323242,1
256MB,1.02 GB,4,global_mean,0.3344430923461914,1
256MB,1.02 GB,4,temporal_mean,0.28757238388061523,1
256MB,1.02 GB,4,climatology,0.4919748306274414,1
256MB,1.02 GB,4,anomaly,4.435961723327637,1
512MB,2.05 GB,4,global_mean,0.638624906539917,1
512MB,2.05 GB,4,temporal_mean,0.5947184562683105,1
512MB,2.05 GB,4,climatology,0.9077587127685547,1
512MB,2.05 GB,4,anomaly,9.038095951080322,1
8MB,64.89 MB,8,global_mean,0.07116365432739258,1
8MB,64.89 MB,8,temporal_mean,0.2849104404449463,1
8MB,64.89 MB,8,climatology,0.09582901000976562,1
8MB,64.89 MB,8,anomaly,0.28061604499816895,1
16MB,128.78 MB,8,global_mean,0.06721282005310059,1
16MB,128.78 MB,8,temporal_mean,0.045633554458618164,1
16MB,128.78 MB,8,climatology,0.09988617897033691,1
16MB,128.78 MB,8,anomaly,0.418773889541626,1
32MB,256.58 MB,8,global_mean,0.08385467529296875,1
32MB,256.58 MB,8,temporal_mean,0.05374288558959961,1
32MB,256.58 MB,8,climatology,0.11634016036987305,1
32MB,256.58 MB,8,anomaly,0.7859969139099121,1
64MB,512.17 MB,8,global_mean,0.12359142303466797,1
64MB,512.17 MB,8,temporal_mean,0.09990715980529785,1
64MB,512.17 MB,8,climatology,0.17370843887329102,1
64MB,512.17 MB,8,anomaly,1.5558900833129883,1
128MB,1.02 GB,8,global_mean,0.19548869132995605,1
128MB,1.02 GB,8,temporal_mean,0.17265868186950684,1
128MB,1.02 GB,8,climatology,0.2975599765777588,1
128MB,1.02 GB,8,anomaly,3.8154845237731934,1
256MB,2.05 GB,8,global_mean,0.34119391441345215,1
256MB,2.05 GB,8,temporal_mean,0.309220552444458,1
256MB,2.05 GB,8,climatology,0.5182294845581055,1
256MB,2.05 GB,8,anomaly,8.105940818786621,1
512MB,4.10 GB,8,global_mean,0.6560952663421631,1
512MB,4.10 GB,8,temporal_mean,0.6020660400390625,1
512MB,4.10 GB,8,climatology,0.9423162937164307,1
512MB,4.10 GB,8,anomaly,17.27672004699707,1
8MB,128.78 MB,16,global_mean,0.12261700630187988,1
8MB,128.78 MB,16,temporal_mean,0.07792282104492188,1
8MB,128.78 MB,16,climatology,0.11557483673095703,1
8MB,128.78 MB,16,anomaly,0.5272059440612793,1
16MB,256.58 MB,16,global_mean,0.09180426597595215,1
16MB,256.58 MB,16,temporal_mean,0.07166838645935059,1
16MB,256.58 MB,16,climatology,0.1335911750793457,1
16MB,256.58 MB,16,anomaly,0.7540953159332275,1
32MB,512.17 MB,16,global_mean,0.33063697814941406,1
32MB,512.17 MB,16,temporal_mean,0.07397580146789551,1
32MB,512.17 MB,16,climatology,0.1528151035308838,1
32MB,512.17 MB,16,anomaly,1.4490554332733154,1
64MB,1.02 GB,16,global_mean,0.14418745040893555,1
64MB,1.02 GB,16,temporal_mean,0.11768269538879395,1
64MB,1.02 GB,16,climatology,0.2195572853088379,1
64MB,1.02 GB,16,anomaly,2.613454580307007,1
128MB,2.05 GB,16,global_mean,0.2153315544128418,1
128MB,2.05 GB,16,temporal_mean,0.19501161575317383,1
128MB,2.05 GB,16,climatology,0.3432345390319824,1
128MB,2.05 GB,16,anomaly,7.091493368148804,1
256MB,4.10 GB,16,global_mean,0.35589122772216797,1
256MB,4.10 GB,16,temporal_mean,0.32202816009521484,1
256MB,4.10 GB,16,climatology,0.5495727062225342,1
256MB,4.10 GB,16,anomaly,14.867942810058594,1
512MB,8.19 GB,16,global_mean,0.6645071506500244,1
512MB,8.19 GB,16,temporal_mean,0.6183757781982422,1
512MB,8.19 GB,16,climatology,0.9762146472930908,1
512MB,8.19 GB,16,anomaly,31.821359157562256,1
8MB,256.58 MB,32,global_mean,0.17540502548217773,1
8MB,256.58 MB,32,temporal_mean,0.11460018157958984,1
8MB,256.58 MB,32,climatology,0.16350769996643066,1
8MB,256.58 MB,32,anomaly,0.8619251251220703,1
16MB,512.17 MB,32,global_mean,0.11901736259460449,1
16MB,512.17 MB,32,temporal_mean,0.10478997230529785,1
16MB,512.17 MB,32,climatology,0.17309117317199707,1
16MB,512.17 MB,32,anomaly,1.443190574645996,1
32MB,1.02 GB,32,global_mean,0.13557171821594238,1
32MB,1.02 GB,32,temporal_mean,0.11349177360534668,1
32MB,1.02 GB,32,climatology,0.19661188125610352,1
32MB,1.02 GB,32,anomaly,2.549001693725586,1
64MB,2.05 GB,32,global_mean,0.16750860214233398,1
64MB,2.05 GB,32,temporal_mean,0.1396942138671875,1
64MB,2.05 GB,32,climatology,0.2472243309020996,1
64MB,2.05 GB,32,anomaly,5.199331760406494,1
128MB,4.10 GB,32,global_mean,0.23897838592529297,1
128MB,4.10 GB,32,temporal_mean,0.23052096366882324,1
128MB,4.10 GB,32,climatology,0.3789498805999756,1
128MB,4.10 GB,32,anomaly,13.553710460662842,1
256MB,8.19 GB,32,global_mean,0.3759315013885498,1
256MB,8.19 GB,32,temporal_mean,0.36745142936706543,1
256MB,8.19 GB,32,climatology,0.6037774085998535,1
256MB,8.19 GB,32,anomaly,29.09477734565735,1
512MB,16.38 GB,32,global_mean,0.6929924488067627,1
512MB,16.38 GB,32,temporal_mean,0.8673827648162842,1
512MB,16.38 GB,32,climatology,1.0225019454956055,1
512MB,16.38 GB,32,anomaly,59.87329411506653,1
