chunk_per_worker,chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
10,32MB,spatial,5.12 GB,hal24,24,128gb,16,global_mean,0.4797954559326172,False,1,1
10,32MB,spatial,5.12 GB,hal24,24,128gb,16,spatial_mean,0.6420788764953613,False,1,1
10,32MB,spatial,5.12 GB,hal24,24,128gb,16,climatology,1.687807559967041,False,1,1
10,32MB,spatial,5.12 GB,hal24,24,128gb,16,anomaly,7.853271484375,False,1,1
10,32MB,temporal,5.12 GB,hal24,24,128gb,16,global_mean,0.6099047660827637,False,1,1
10,32MB,temporal,5.12 GB,hal24,24,128gb,16,spatial_mean,0.5166049003601074,False,1,1
10,32MB,temporal,5.12 GB,hal24,24,128gb,16,climatology,0.810474157333374,False,1,1
10,32MB,temporal,5.12 GB,hal24,24,128gb,16,anomaly,1.6533255577087402,False,1,1
10,32MB,auto,5.12 GB,hal24,24,128gb,16,global_mean,0.6053464412689209,False,1,1
10,32MB,auto,5.12 GB,hal24,24,128gb,16,spatial_mean,0.8237075805664062,False,1,1
10,32MB,auto,5.12 GB,hal24,24,128gb,16,climatology,1.7014985084533691,False,1,1
10,32MB,auto,5.12 GB,hal24,24,128gb,16,anomaly,3.6223244667053223,False,1,1
10,32MB,spatial,5.12 GB,hal24,24,128gb,16,global_mean,0.4797954559326172,False,1,1
10,32MB,spatial,5.12 GB,hal24,24,128gb,16,spatial_mean,0.6420788764953613,False,1,1
10,32MB,spatial,5.12 GB,hal24,24,128gb,16,climatology,1.687807559967041,False,1,1
10,32MB,spatial,5.12 GB,hal24,24,128gb,16,anomaly,7.853271484375,False,1,1
10,32MB,temporal,5.12 GB,hal24,24,128gb,16,global_mean,0.6099047660827637,False,1,1
10,32MB,temporal,5.12 GB,hal24,24,128gb,16,spatial_mean,0.5166049003601074,False,1,1
10,32MB,temporal,5.12 GB,hal24,24,128gb,16,climatology,0.810474157333374,False,1,1
10,32MB,temporal,5.12 GB,hal24,24,128gb,16,anomaly,1.6533255577087402,False,1,1
10,32MB,auto,5.12 GB,hal24,24,128gb,16,global_mean,0.6053464412689209,False,1,1
10,32MB,auto,5.12 GB,hal24,24,128gb,16,spatial_mean,0.8237075805664062,False,1,1
10,32MB,auto,5.12 GB,hal24,24,128gb,16,climatology,1.7014985084533691,False,1,1
10,32MB,auto,5.12 GB,hal24,24,128gb,16,anomaly,3.6223244667053223,False,1,1
10,64MB,spatial,10.24 GB,hal24,24,128gb,16,global_mean,0.7860114574432373,False,1,1
10,64MB,spatial,10.24 GB,hal24,24,128gb,16,spatial_mean,0.7315924167633057,False,1,1
10,64MB,spatial,10.24 GB,hal24,24,128gb,16,climatology,1.8550324440002441,False,1,1
10,64MB,spatial,10.24 GB,hal24,24,128gb,16,anomaly,13.881099939346313,False,1,1
10,64MB,temporal,10.24 GB,hal24,24,128gb,16,global_mean,0.9150736331939697,False,1,1
10,64MB,temporal,10.24 GB,hal24,24,128gb,16,spatial_mean,0.8143012523651123,False,1,1
10,64MB,temporal,10.24 GB,hal24,24,128gb,16,climatology,1.3322441577911377,False,1,1
10,64MB,temporal,10.24 GB,hal24,24,128gb,16,anomaly,2.354055404663086,False,1,1
10,64MB,auto,10.24 GB,hal24,24,128gb,16,global_mean,0.804837703704834,False,1,1
