operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
spatial_mean,64MB,10,2.56 GB,1,1,4,spatial,cheyenne,109gb,36,False,1.1404643058776855
temporal_mean,64MB,10,2.56 GB,1,1,4,spatial,cheyenne,109gb,36,False,0.718510627746582
climatology,64MB,10,2.56 GB,1,1,4,spatial,cheyenne,109gb,36,False,0.8040320873260498
anomaly,64MB,10,2.56 GB,1,1,4,spatial,cheyenne,109gb,36,False,1.8270204067230225
spatial_mean,64MB,10,2.56 GB,1,1,4,temporal,cheyenne,109gb,36,False,0.5764796733856201
temporal_mean,64MB,10,2.56 GB,1,1,4,temporal,cheyenne,109gb,36,False,0.47196459770202637
climatology,64MB,10,2.56 GB,1,1,4,temporal,cheyenne,109gb,36,False,0.7189309597015381
anomaly,64MB,10,2.56 GB,1,1,4,temporal,cheyenne,109gb,36,False,1.3655123710632324
spatial_mean,64MB,10,2.56 GB,1,1,4,auto,cheyenne,109gb,36,False,0.6754209995269775
temporal_mean,64MB,10,2.56 GB,1,1,4,auto,cheyenne,109gb,36,False,0.47165536880493164
climatology,64MB,10,2.56 GB,1,1,4,auto,cheyenne,109gb,36,False,0.7533106803894043
anomaly,64MB,10,2.56 GB,1,1,4,auto,cheyenne,109gb,36,False,1.4077365398406982
spatial_mean,64MB,10,2.56 GB,1,1,4,spatial,cheyenne,109gb,36,False,1.1404643058776855
temporal_mean,64MB,10,2.56 GB,1,1,4,spatial,cheyenne,109gb,36,False,0.718510627746582
climatology,64MB,10,2.56 GB,1,1,4,spatial,cheyenne,109gb,36,False,0.8040320873260498
anomaly,64MB,10,2.56 GB,1,1,4,spatial,cheyenne,109gb,36,False,1.8270204067230225
spatial_mean,64MB,10,2.56 GB,1,1,4,temporal,cheyenne,109gb,36,False,0.5764796733856201
temporal_mean,64MB,10,2.56 GB,1,1,4,temporal,cheyenne,109gb,36,False,0.47196459770202637
climatology,64MB,10,2.56 GB,1,1,4,temporal,cheyenne,109gb,36,False,0.7189309597015381
anomaly,64MB,10,2.56 GB,1,1,4,temporal,cheyenne,109gb,36,False,1.3655123710632324
spatial_mean,64MB,10,2.56 GB,1,1,4,auto,cheyenne,109gb,36,False,0.6754209995269775
