chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
8MB,spatial,16.72 MB,cheyenne,2,temporal_mean,0.026424407958984375,1
8MB,spatial,16.72 MB,cheyenne,2,spatial_mean,0.03128695487976074,1
8MB,spatial,16.72 MB,cheyenne,2,climatology,0.0409090518951416,1
8MB,spatial,16.72 MB,cheyenne,2,anomaly,0.049191951751708984,1
8MB,temporal,16.72 MB,cheyenne,2,temporal_mean,0.03349637985229492,1
8MB,temporal,16.72 MB,cheyenne,2,spatial_mean,0.025736570358276367,1
8MB,temporal,16.72 MB,cheyenne,2,climatology,0.043852806091308594,1
8MB,temporal,16.72 MB,cheyenne,2,anomaly,0.06239676475524902,1
8MB,auto,16.72 MB,cheyenne,2,temporal_mean,0.0239102840423584,1
8MB,auto,16.72 MB,cheyenne,2,spatial_mean,0.028367042541503906,1
8MB,auto,16.72 MB,cheyenne,2,climatology,0.038663387298583984,1
8MB,auto,16.72 MB,cheyenne,2,anomaly,0.04950213432312012,1
8MB,spatial,16.72 MB,cheyenne,2,temporal_mean,0.026424407958984375,1
8MB,spatial,16.72 MB,cheyenne,2,spatial_mean,0.03128695487976074,1
8MB,spatial,16.72 MB,cheyenne,2,climatology,0.0409090518951416,1
8MB,spatial,16.72 MB,cheyenne,2,anomaly,0.049191951751708984,1
8MB,temporal,16.72 MB,cheyenne,2,temporal_mean,0.03349637985229492,1
8MB,temporal,16.72 MB,cheyenne,2,spatial_mean,0.025736570358276367,1
8MB,temporal,16.72 MB,cheyenne,2,climatology,0.043852806091308594,1
8MB,temporal,16.72 MB,cheyenne,2,anomaly,0.06239676475524902,1
8MB,auto,16.72 MB,cheyenne,2,temporal_mean,0.0239102840423584,1
8MB,auto,16.72 MB,cheyenne,2,spatial_mean,0.028367042541503906,1
8MB,auto,16.72 MB,cheyenne,2,climatology,0.038663387298583984,1
8MB,auto,16.72 MB,cheyenne,2,anomaly,0.04950213432312012,1
