chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
8MB,spatial,8.85 MB,cheyenne,1,temporal_mean,0.026527881622314453,1
8MB,spatial,8.85 MB,cheyenne,1,spatial_mean,0.026531696319580078,1
8MB,spatial,8.85 MB,cheyenne,1,climatology,0.2642848491668701,1
8MB,spatial,8.85 MB,cheyenne,1,anomaly,0.07392501831054688,1
8MB,temporal,8.85 MB,cheyenne,1,temporal_mean,0.023253202438354492,1
8MB,temporal,8.85 MB,cheyenne,1,spatial_mean,0.018740177154541016,1
8MB,temporal,8.85 MB,cheyenne,1,climatology,0.036675453186035156,1
8MB,temporal,8.85 MB,cheyenne,1,anomaly,0.04999518394470215,1
8MB,auto,8.85 MB,cheyenne,1,temporal_mean,0.02086925506591797,1
8MB,auto,8.85 MB,cheyenne,1,spatial_mean,0.023916006088256836,1
8MB,auto,8.85 MB,cheyenne,1,climatology,0.04018545150756836,1
8MB,auto,8.85 MB,cheyenne,1,anomaly,0.04524111747741699,1
8MB,spatial,8.85 MB,cheyenne,1,temporal_mean,0.026527881622314453,1
8MB,spatial,8.85 MB,cheyenne,1,spatial_mean,0.026531696319580078,1
8MB,spatial,8.85 MB,cheyenne,1,climatology,0.2642848491668701,1
8MB,spatial,8.85 MB,cheyenne,1,anomaly,0.07392501831054688,1
8MB,temporal,8.85 MB,cheyenne,1,temporal_mean,0.023253202438354492,1
8MB,temporal,8.85 MB,cheyenne,1,spatial_mean,0.018740177154541016,1
8MB,temporal,8.85 MB,cheyenne,1,climatology,0.036675453186035156,1
8MB,temporal,8.85 MB,cheyenne,1,anomaly,0.04999518394470215,1
8MB,auto,8.85 MB,cheyenne,1,temporal_mean,0.02086925506591797,1
8MB,auto,8.85 MB,cheyenne,1,spatial_mean,0.023916006088256836,1
8MB,auto,8.85 MB,cheyenne,1,climatology,0.04018545150756836,1
8MB,auto,8.85 MB,cheyenne,1,anomaly,0.04524111747741699,1
16MB,spatial,16.72 MB,cheyenne,1,temporal_mean,0.03235173225402832,1
16MB,spatial,16.72 MB,cheyenne,1,spatial_mean,0.028573036193847656,1
16MB,spatial,16.72 MB,cheyenne,1,climatology,0.04896855354309082,1
16MB,spatial,16.72 MB,cheyenne,1,anomaly,0.07065153121948242,1
16MB,temporal,16.72 MB,cheyenne,1,temporal_mean,0.030909061431884766,1
16MB,temporal,16.72 MB,cheyenne,1,spatial_mean,0.028525352478027344,1
16MB,temporal,16.72 MB,cheyenne,1,climatology,0.04626750946044922,1
16MB,temporal,16.72 MB,cheyenne,1,anomaly,0.06870150566101074,1
16MB,auto,16.72 MB,cheyenne,1,temporal_mean,0.05448031425476074,1
16MB,auto,16.72 MB,cheyenne,1,spatial_mean,0.05121254920959473,1
16MB,auto,16.72 MB,cheyenne,1,climatology,0.04418206214904785,1
16MB,auto,16.72 MB,cheyenne,1,anomaly,0.06078910827636719,1
8MB,spatial,8.85 MB,cheyenne,1,temporal_mean,0.026527881622314453,1
8MB,spatial,8.85 MB,cheyenne,1,spatial_mean,0.026531696319580078,1
8MB,spatial,8.85 MB,cheyenne,1,climatology,0.2642848491668701,1
8MB,spatial,8.85 MB,cheyenne,1,anomaly,0.07392501831054688,1
8MB,temporal,8.85 MB,cheyenne,1,temporal_mean,0.023253202438354492,1
8MB,temporal,8.85 MB,cheyenne,1,spatial_mean,0.018740177154541016,1
8MB,temporal,8.85 MB,cheyenne,1,climatology,0.036675453186035156,1
8MB,temporal,8.85 MB,cheyenne,1,anomaly,0.04999518394470215,1
8MB,auto,8.85 MB,cheyenne,1,temporal_mean,0.02086925506591797,1
8MB,auto,8.85 MB,cheyenne,1,spatial_mean,0.023916006088256836,1
8MB,auto,8.85 MB,cheyenne,1,climatology,0.04018545150756836,1
8MB,auto,8.85 MB,cheyenne,1,anomaly,0.04524111747741699,1
16MB,spatial,16.72 MB,cheyenne,1,temporal_mean,0.03235173225402832,1
16MB,spatial,16.72 MB,cheyenne,1,spatial_mean,0.028573036193847656,1
16MB,spatial,16.72 MB,cheyenne,1,climatology,0.04896855354309082,1
16MB,spatial,16.72 MB,cheyenne,1,anomaly,0.07065153121948242,1
16MB,temporal,16.72 MB,cheyenne,1,temporal_mean,0.030909061431884766,1
16MB,temporal,16.72 MB,cheyenne,1,spatial_mean,0.028525352478027344,1
16MB,temporal,16.72 MB,cheyenne,1,climatology,0.04626750946044922,1
16MB,temporal,16.72 MB,cheyenne,1,anomaly,0.06870150566101074,1
16MB,auto,16.72 MB,cheyenne,1,temporal_mean,0.05448031425476074,1
16MB,auto,16.72 MB,cheyenne,1,spatial_mean,0.05121254920959473,1
16MB,auto,16.72 MB,cheyenne,1,climatology,0.04418206214904785,1
16MB,auto,16.72 MB,cheyenne,1,anomaly,0.06078910827636719,1
32MB,spatial,32.45 MB,cheyenne,1,temporal_mean,0.049067020416259766,1
32MB,spatial,32.45 MB,cheyenne,1,spatial_mean,0.03181934356689453,1
32MB,spatial,32.45 MB,cheyenne,1,climatology,0.0648813247680664,1
32MB,spatial,32.45 MB,cheyenne,1,anomaly,0.09319138526916504,1
32MB,temporal,32.45 MB,cheyenne,1,temporal_mean,0.034084320068359375,1
32MB,temporal,32.45 MB,cheyenne,1,spatial_mean,0.030867815017700195,1
32MB,temporal,32.45 MB,cheyenne,1,climatology,0.0597691535949707,1
32MB,temporal,32.45 MB,cheyenne,1,anomaly,0.08784246444702148,1
32MB,auto,32.45 MB,cheyenne,1,temporal_mean,0.03818655014038086,1
32MB,auto,32.45 MB,cheyenne,1,spatial_mean,0.03936314582824707,1
32MB,auto,32.45 MB,cheyenne,1,climatology,0.0579228401184082,1
32MB,auto,32.45 MB,cheyenne,1,anomaly,0.08814263343811035,1
8MB,spatial,8.85 MB,cheyenne,1,temporal_mean,0.026527881622314453,1
8MB,spatial,8.85 MB,cheyenne,1,spatial_mean,0.026531696319580078,1
8MB,spatial,8.85 MB,cheyenne,1,climatology,0.2642848491668701,1
8MB,spatial,8.85 MB,cheyenne,1,anomaly,0.07392501831054688,1
8MB,temporal,8.85 MB,cheyenne,1,temporal_mean,0.023253202438354492,1
8MB,temporal,8.85 MB,cheyenne,1,spatial_mean,0.018740177154541016,1
8MB,temporal,8.85 MB,cheyenne,1,climatology,0.036675453186035156,1
8MB,temporal,8.85 MB,cheyenne,1,anomaly,0.04999518394470215,1
8MB,auto,8.85 MB,cheyenne,1,temporal_mean,0.02086925506591797,1
8MB,auto,8.85 MB,cheyenne,1,spatial_mean,0.023916006088256836,1
8MB,auto,8.85 MB,cheyenne,1,climatology,0.04018545150756836,1
